dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,mean_trust_step_0,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,mean_trust_step_1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,mean_trust_step_2,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,mean_trust_step_3,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,mean_trust_step_4,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,mean_trust_step_5,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time
ShapeletSim,2,20,180,0.5222222208976746,0.4888389908862766,1.0,1.0,0.532,0.5722222328186035,0.5638080251770259,1.0,1.0,0.54899997,0.5388889312744141,0.5385328185328185,1.0,1.0,0.522,0.5611111521720886,0.5571610974432437,1.0,1.0,0.52349997,0.5388889312744141,0.4481179121569207,0.9888888888888889,0.9888875169774047,0.5475,0.5166666507720947,0.44919278252611583,1.0,1.0,0.5525,0.5333333611488342,0.52,0.9666666666666667,0.9666666666666667,62.727954149246216
PhalangesOutlinesCorrect,2,1800,858,0.8426573872566223,0.8271490714280385,0.8216783216783217,0.8225186998578689,0.5125,0.8426573872566223,0.8312586042378376,0.8275058275058275,0.8268911693193255,0.5075,0.8333333730697632,0.820550135069319,0.8333333333333334,0.8271335746590729,0.503,0.825174868106842,0.8089552061561847,0.8205128205128205,0.8196414026626262,0.503,0.8228438496589661,0.813090112762774,0.8228438228438228,0.8219837221085661,0.499,0.8263403177261353,0.8142379501397117,0.8251748251748252,0.8246613353128669,0.4995,0.8368298411369324,0.8206093189964159,0.8216783216783217,0.8198639920686368,6405.362926244736
FacesUCR,14,200,2050,0.7712194919586182,0.7397055740693668,0.8604878048780488,0.8579855778449902,0.08814286,0.7424390316009521,0.7021035087356783,0.8468292682926829,0.8465533155242327,0.088428564,0.7395122051239014,0.7117118868128285,0.8492682926829268,0.8471159325037679,0.08285714,0.7414634227752686,0.7038973673282793,0.8424390243902439,0.8422283535938245,0.07907142,0.7580487728118896,0.7018662928508622,0.8439024390243902,0.8409712183423478,0.086071424,0.7507317066192627,0.708061617954077,0.8419512195121951,0.842110213908438,0.086,0.7268292903900146,0.677999176102518,0.8468292682926829,0.8446541007090065,594.7261908054352
BME,3,30,150,0.9733333587646484,0.9733986732006534,0.6733333333333333,0.6555386178861788,0.37633333,0.9399999976158142,0.9399995318680805,0.6533333333333333,0.6317698190951937,0.365,0.9133333563804626,0.9128363372840546,0.7066666666666667,0.6965085638998683,0.37233332,0.8866667151451111,0.8864623512635293,0.6866666666666666,0.6695463666101049,0.38399997,0.9266666769981384,0.9267349679720814,0.7,0.6900793650793651,0.39666668,0.9066666960716248,0.9062267828901395,0.66,0.6463146314631464,0.381,0.9133333563804626,0.913694628487678,0.68,0.6651563983670528,87.25901937484741
Wafer,2,1000,6164,0.9961064457893372,0.9898460433503444,0.9969175859831279,0.9969206340457129,0.4995,0.9954575300216675,0.9882318255098392,0.9941596365996106,0.9941518892962599,0.502,0.9939973950386047,0.9842937796224482,0.9931862426995457,0.99321738867531,0.5075,0.992861807346344,0.981359637969442,0.9926995457495134,0.9926579181994145,0.5005,0.9922128319740295,0.9796650596030276,0.9939974042829332,0.9940151192427171,0.505,0.9922128319740295,0.9798789768113695,0.9914016872160935,0.9914101897064622,0.508,0.9930239915847778,0.9815992936070368,0.9938351719662557,0.993826994257163,3546.454177379608
ProximalPhalanxOutlineAgeGroup,3,400,205,0.8585366010665894,0.7470396796752331,0.8682926829268293,0.8540376892380815,0.346,0.8536585569381714,0.655751606822752,0.8878048780487805,0.8849761005573034,0.37933335,0.8585366010665894,0.7575540645499377,0.8878048780487805,0.8808754119973632,0.35866666,0.8634146451950073,0.7280452441418562,0.8829268292682927,0.8776899989650533,0.35433337,0.8536585569381714,0.5933447305254796,0.8878048780487805,0.8829949501680809,0.3543333,0.8487805128097534,0.652488484949218,0.8926829268292683,0.8892254087376038,0.3633333,0.8585366010665894,0.7386581663630843,0.8829268292682927,0.8829268292682927,876.1253161430359
SwedishLeaf,15,500,625,0.8623999953269958,0.859921907765292,0.9408,0.9406402125068484,0.070199996,0.9023999571800232,0.9038650327275092,0.9328,0.9323502901450198,0.08313333,0.8863999843597412,0.8849667697730824,0.9136,0.9137600906050372,0.0798,0.8703999519348145,0.87066156303527,0.92,0.9193276969760377,0.07373334,0.8991999626159668,0.8997386451468005,0.928,0.9275917515150093,0.07146667,0.887999951839447,0.890246386718993,0.9216,0.9217737409878697,0.074400015,0.8799999952316284,0.8783842166611039,0.896,0.8947600289124759,1188.4802694320679
Fish,7,175,175,0.868571400642395,0.8703151752897831,0.7142857142857143,0.7228526930171659,0.15757143,0.8628571629524231,0.8745232703282909,0.7028571428571428,0.7095894670958802,0.16085713,0.8742856979370117,0.8762878562509407,0.6914285714285714,0.6940959393447453,0.16871428,0.822857141494751,0.8308888189041922,0.6971428571428572,0.6984226361343105,0.15414286,0.8285714387893677,0.8343673371565087,0.7371428571428571,0.7349031482678541,0.16114286,0.822857141494751,0.8208337260688635,0.7028571428571428,0.6976006658484954,0.16271427,0.822857141494751,0.8264765544901619,0.68,0.6710190370204625,657.843001127243
ECG5000,5,500,4500,0.9422222375869751,0.58533844984823,0.9408888888888889,0.9306129676833279,0.21519999,0.9402222037315369,0.6114665526734099,0.9413333333333334,0.9320321131740159,0.2042,0.9391111135482788,0.5770066549194144,0.9411111111111111,0.9293954172368388,0.22219999,0.9384444355964661,0.5836479665384963,0.9402222222222222,0.9325560122175522,0.22379999,0.9375555515289307,0.5740231272914361,0.9391111111111111,0.9289798319328901,0.21040002,0.941111147403717,0.567195933780002,0.9413333333333334,0.9305244449619666,0.2098,0.9415555596351624,0.6043018839536826,0.9406666666666667,0.9308301293568345,1124.5027720928192
EthanolLevel,4,504,500,0.8240000605583191,0.8258832722347087,0.5,0.46559619218848874,0.27925,0.8020000457763672,0.8022703819128989,0.494,0.43759440949601336,0.25375,0.7780000567436218,0.7757112846530501,0.448,0.4347481118188599,0.2565,0.7920000553131104,0.7904542954987624,0.45,0.4031822011303777,0.2575,0.8240000605583191,0.8243144248548446,0.506,0.48966741412471676,0.2545,0.796000063419342,0.7924298156329406,0.51,0.4995982176425538,0.25175,0.7880000472068787,0.7929382680418129,0.492,0.47366198785513103,3161.767231941223
GunPointMaleVersusFemale,2,135,316,1.0,1.0,0.9841772151898734,0.9841681504254713,0.506,1.0,1.0,0.990506329113924,0.9905047081711914,0.50699997,1.0,1.0,0.9778481012658228,0.9778514363571197,0.511,1.0,1.0,0.9841772151898734,0.9841681504254713,0.514,1.0,1.0,0.9746835443037974,0.9746835443037974,0.5065,1.0,1.0,0.9873417721518988,0.9873315901796914,0.504,1.0,1.0,0.9715189873417721,0.971523275316297,531.4006888866425
SemgHandSubjectCh2,5,450,450,0.742222249507904,0.7422004401570964,0.44222222222222224,0.4385525905330628,0.2014,0.7977777719497681,0.7960037644127995,0.4577777777777778,0.45024842481928135,0.2138,0.6511111259460449,0.6577921813288145,0.4533333333333333,0.43220809981903696,0.2066,0.30666667222976685,0.18025215030694025,0.47333333333333333,0.4613451660404954,0.20279999,0.3266666829586029,0.2492213787779894,0.44,0.4292358964349058,0.19960001,0.2844444513320923,0.16328693963424504,0.4288888888888889,0.3908856946652581,0.20320001,0.6688889265060425,0.6719102853289476,0.44222222222222224,0.4122063369313517,1123.9680843353271
BeetleFly,2,20,20,0.949999988079071,0.949874686716792,0.9,0.898989898989899,0.5475,0.8500000238418579,0.8465473145780051,0.9,0.9,0.556,0.949999988079071,0.949874686716792,0.85,0.849624060150376,0.5165,0.949999988079071,0.949874686716792,0.95,0.949874686716792,0.4985,0.9000000357627869,0.898989898989899,0.9,0.898989898989899,0.536,0.949999988079071,0.949874686716792,0.85,0.849624060150376,0.547,0.949999988079071,0.949874686716792,0.95,0.949874686716792,48.74197459220886
GestureMidAirD2,26,208,130,0.5769230723381042,0.5822707094974301,0.5846153846153846,0.5601063968711026,0.05265385,0.5615384578704834,0.5423877404646634,0.5538461538461539,0.5241673924366232,0.05353846,0.5307692289352417,0.5120661389892159,0.5692307692307692,0.5484515484515485,0.051961537,0.5692307949066162,0.5468379405120296,0.5538461538461539,0.5178113553113554,0.052538462,0.5692307949066162,0.5666382762536609,0.5461538461538461,0.5280410263441938,0.052615386,0.5692307949066162,0.5486577525039065,0.5153846153846153,0.4903434800493624,0.055346157,0.5307692289352417,0.5306027180461569,0.5615384615384615,0.5322950177022575,497.93405652046204
CricketX,12,390,390,0.5410256385803223,0.5582107592158921,0.6564102564102564,0.64646131416235,0.10066667,0.5769230723381042,0.5819912432078559,0.6461538461538462,0.6482822745729573,0.09816667,0.5435897707939148,0.5441017041187689,0.6461538461538462,0.6367129890194133,0.10516667,0.571794867515564,0.5827953134015843,0.6641025641025641,0.6592174514287726,0.10191666,0.5615384578704834,0.560484877679221,0.6410256410256411,0.6409672686027842,0.104833335,0.5564102530479431,0.5609532704983461,0.6358974358974359,0.6329840165203275,0.09775,0.5564102530479431,0.5678416638429457,0.6282051282051282,0.6161956461412984,1039.264452457428
ToeSegmentation1,2,40,228,0.6447368264198303,0.6340288924558588,0.9210526315789473,0.9210099474375287,0.5585,0.640350878238678,0.6402401477832512,0.8947368421052632,0.8947368421052632,0.54050004,0.609649121761322,0.6095815295815296,0.9078947368421053,0.9078716283132805,0.52349997,0.6184210777282715,0.6129938542581211,0.9166666666666666,0.9166843414380194,0.536,0.5921052694320679,0.5907748721412718,0.9122807017543859,0.9122807017543859,0.5165,0.6315789222717285,0.6314655172413793,0.8947368421052632,0.8942871742462954,0.527,0.6184210777282715,0.6167623022083115,0.9122807017543859,0.9123144529272392,167.45514965057373
OliveOil,4,30,30,0.9000000357627869,0.8735087719298245,0.8333333333333334,0.825682288725767,0.29675,0.9333333969116211,0.9302944862155388,0.8,0.763040293040293,0.277,0.9666666984558105,0.9759725400457666,0.8,0.7671734892787524,0.26125,0.9333333969116211,0.9302944862155388,0.7333333333333333,0.6695627958785854,0.27225,0.9333333969116211,0.8974358974358974,0.7333333333333333,0.7099074074074074,0.2735,0.9000000357627869,0.8735087719298245,0.7666666666666667,0.7358689458689459,0.26700002,0.9000000357627869,0.8735087719298245,0.7333333333333333,0.7059649122807017,61.80247259140015
Coffee,2,28,28,1.0,1.0,0.8214285714285714,0.8207373271889402,0.549,1.0,1.0,0.8928571428571429,0.8924423963133641,0.5575,1.0,1.0,0.8571428571428571,0.852559205500382,0.543,1.0,1.0,0.8214285714285714,0.8207373271889402,0.5305,1.0,1.0,0.7857142857142857,0.7857142857142857,0.53249997,1.0,1.0,0.8214285714285714,0.8129251700680271,0.53,1.0,1.0,0.7857142857142857,0.7834821428571429,79.21130514144897
Car,4,60,60,0.8500000238418579,0.8581885856079405,0.65,0.6027138123273211,0.274,0.8500000238418579,0.8552096052096052,0.55,0.5046153846153846,0.28925002,0.8333333730697632,0.8323937532002048,0.5,0.4516858770535241,0.2685,0.8833333849906921,0.8822901049475262,0.5666666666666667,0.5650564817841706,0.27775002,0.8500000238418579,0.851419413919414,0.5166666666666667,0.44919086333720476,0.25974998,0.8500000238418579,0.8408961727927245,0.5666666666666667,0.5117278554778555,0.276,0.8833333849906921,0.8849358974358975,0.36666666666666664,0.24658994032395568,212.0371024608612
MoteStrain,2,20,1252,0.8809903860092163,0.8799419493311623,0.8865814696485623,0.8856791953716843,0.53900003,0.8634185194969177,0.8614562969204098,0.9089456869009584,0.9087014040650494,0.5185,0.8817891478538513,0.8814597210244968,0.9137380191693291,0.9137685614347094,0.538,0.8634185194969177,0.8626276003719011,0.9089456869009584,0.9088824807498459,0.533,0.860223650932312,0.8595763962727179,0.9049520766773163,0.9049804290797817,0.5365,0.860223650932312,0.8593795628636252,0.8833865814696485,0.8834147123130145,0.5495,0.8825878500938416,0.8820943493772675,0.9137380191693291,0.9137588282863394,73.29431343078613
UWaveGestureLibraryZ,8,896,3582,0.6962590217590332,0.6839292312840607,0.6705750977107761,0.6617564805119296,0.132625,0.6984924077987671,0.6861505369998877,0.6811836962590732,0.663064805942758,0.132,0.682579517364502,0.6727555631586568,0.6764377442769403,0.6566638665979062,0.127375,0.6764377355575562,0.6658631003101835,0.6775544388609716,0.66072701932066,0.13612501,0.6842545866966248,0.6791057616895818,0.6758793969849246,0.6544621235145806,0.13087499,0.679787814617157,0.6692851234479094,0.6689000558347292,0.6583284773710473,0.129875,0.6675041317939758,0.6488840406690581,0.6663874930206588,0.6597315729117841,2294.645174741745
MedicalImages,10,381,760,0.7434210777282715,0.6968216987392939,0.7407894736842106,0.7250228406484152,0.11079999,0.7447368502616882,0.6669987254535164,0.7407894736842106,0.7360022556712109,0.116900004,0.7342105507850647,0.6746673797865291,0.7592105263157894,0.7489818424599256,0.10630001,0.7552632093429565,0.7076748210959709,0.756578947368421,0.7429408638476438,0.10910001,0.740789532661438,0.6741782207085879,0.7592105263157894,0.7488442256672758,0.11190001,0.7486842274665833,0.6688182094247553,0.7473684210526316,0.7418460347134471,0.1097,0.7171052694320679,0.6353628339414082,0.7539473684210526,0.7450091757369305,904.6577138900757
SmallKitchenAppliances,3,375,375,0.5706666707992554,0.5523898050213506,0.744,0.7456680920618147,0.35033333,0.5493333339691162,0.5396877817257623,0.696,0.700202490454601,0.33033332,0.5893333554267883,0.5483732146825152,0.728,0.7305211826552424,0.33466664,0.5680000185966492,0.5650338595746975,0.712,0.7138115906017461,0.33366665,0.5573333501815796,0.5372135289185981,0.72,0.7203804206574578,0.33333334,0.543999969959259,0.5015875859607665,0.7013333333333334,0.7017420139555727,0.32833335,0.5333333015441895,0.43130618569215057,0.7146666666666667,0.7188924928740565,1066.0622715950012
ECGFiveDays,2,23,861,0.9616724252700806,0.9616623376623377,0.8072009291521487,0.8070588436690975,0.5535,0.9837397933006287,0.9837349007416043,0.7816492450638792,0.7813945095924391,0.5615,0.9907084703445435,0.990706961683756,0.7526132404181185,0.7518918762388903,0.54050004,0.9860627055168152,0.9860622477390948,0.8083623693379791,0.8083297886782207,0.523,0.9872241616249084,0.9872230548918931,0.7514518002322881,0.7514014933490163,0.551,0.9814169406890869,0.981416330318793,0.7932636469221835,0.7899269391988453,0.53,0.9756097197532654,0.9756076502481595,0.7642276422764228,0.7641531875462317,89.49099516868591
MiddlePhalanxOutlineAgeGroup,3,400,154,0.6233766078948975,0.5006936702588877,0.6493506493506493,0.5822401298858698,0.344,0.6168830990791321,0.3792750197005516,0.6558441558441559,0.5982394268581129,0.34866667,0.6233766078948975,0.46548919836591063,0.6558441558441559,0.5988246422819092,0.336,0.6168830990791321,0.3792750197005516,0.6493506493506493,0.5747725659230085,0.339,0.6103895902633667,0.4802232546134985,0.6623376623376623,0.5922876726448155,0.3396667,0.6168830990791321,0.49739849801244,0.6558441558441559,0.5788999394558948,0.369,0.6103895902633667,0.37398937398937404,0.6493506493506493,0.5655791114963968,631.6955633163452
UWaveGestureLibraryX,8,896,3582,0.7560021877288818,0.7392575459605021,0.7707984366275824,0.7651397457518611,0.13475,0.7610273361206055,0.7563156184731021,0.7660524846454495,0.7595736358611784,0.13825001,0.7392517924308777,0.7377940610964155,0.7646566164154104,0.7546500330448683,0.126125,0.7487437129020691,0.7392211755000173,0.7640982691233947,0.7558815159449397,0.1235,0.7213846445083618,0.6950480158358525,0.7624232272473479,0.7478273900280622,0.13325,0.7305973768234253,0.7146413408464591,0.7688442211055276,0.7629399847953744,0.132875,0.7088218331336975,0.6759012052143671,0.7671691792294807,0.7518579168803147,2841.536207675934
ToeSegmentation2,2,36,130,0.8230769038200378,0.5247178508981084,0.8615384615384616,0.8591754446285126,0.5655,0.8307692408561707,0.5855072463768116,0.8615384615384616,0.8421703296703296,0.524,0.8153846263885498,0.4491525423728814,0.8615384615384616,0.8464383411751834,0.523,0.8461538553237915,0.643640350877193,0.8615384615384616,0.8464383411751834,0.53499997,0.8153846263885498,0.4491525423728814,0.8923076923076924,0.8860973888496825,0.521,0.8153846263885498,0.4491525423728814,0.8769230769230769,0.8668531468531468,0.54,0.8153846263885498,0.4491525423728814,0.8692307692307693,0.8568047337278106,105.26639199256897
UWaveGestureLibraryAll,8,896,3582,0.9483528137207031,0.9480916644919537,0.9187604690117253,0.9182446260008703,0.15025,0.9494695067405701,0.9494326825306025,0.914572864321608,0.9141158737144112,0.136625,0.9318816065788269,0.9322678375613843,0.9112227805695142,0.9107191381204417,0.127625,0.933277428150177,0.9335363919872057,0.9050809603573423,0.9042398475206194,0.1275,0.9276939630508423,0.9277253848853028,0.894751535455053,0.8944994186162908,0.12750001,0.9193187952041626,0.9193582820482429,0.8969849246231156,0.8954139071451923,0.126375,0.931323230266571,0.9309631546342095,0.9022892238972641,0.9017866940630704,3136.782885789871
Strawberry,2,613,370,0.978378415107727,0.9763646235906608,0.9783783783783784,0.9783410866230502,0.516,0.9810811281204224,0.9792099792099793,0.972972972972973,0.9730175592933755,0.49199998,0.978378415107727,0.9764451235039471,0.9702702702702702,0.9702449131102551,0.51699996,0.9837837815284729,0.9822734676929956,0.9648648648648649,0.9649508310600549,0.52,0.978378415107727,0.9764451235039471,0.9621621621621622,0.9622245830107256,0.504,0.9702702760696411,0.9673299673299673,0.9648648648648649,0.9650049073533079,0.499,0.9810811281204224,0.9794918086007713,0.9648648648648649,0.9650049073533079,2586.444990634918
All augmented samples were dropped. No data to return.
"Found array with 1 sample(s) (shape=(1, 50)) while a minimum of 2 is required by GaussianMixture."
Beef,5,30,30,0.9000000357627869,0.8956643356643357,0.7333333333333333,0.7329870129870131,0.2316,0.9666666984558105,0.9664335664335665,0.7,0.6991275391275392,0.23959999,0.9333333969116211,0.9331002331002332,0.6,0.5806959706959707,0.2464,0.9000000357627869,0.8978621378621379,0.6333333333333333,0.6424242424242425,0.2358,0.8333333730697632,0.8230769230769232,0.6666666666666666,0.6524242424242425,0.2376,0.8666667342185974,0.8647619047619048,0.6666666666666666,0.6625757575757575,0.2394,0.9000000357627869,0.8997668997668997,0.7,0.6642866936984585,85.29287648200989
SemgHandMovementCh2,6,450,450,0.5133333206176758,0.47480319548510025,0.41555555555555557,0.4131073900885561,0.16866666,0.5311111211776733,0.5006857827977514,0.37333333333333335,0.34963454419976164,0.1655,0.46000000834465027,0.43972804529401127,0.37333333333333335,0.3358490226304335,0.16816665,0.3955555558204651,0.30738279686148273,0.3466666666666667,0.3242278391326654,0.17033333,0.4511111080646515,0.40095125045959645,0.34444444444444444,0.2767467872544507,0.16383334,0.4844444692134857,0.4408879451674707,0.3466666666666667,0.2967722346039504,0.16649999,0.5200000405311584,0.4992938575155687,0.34444444444444444,0.3028179843039946,936.3045229911804
AllGestureWiimoteX,10,300,700,0.22714285552501678,0.21974639582383632,0.37,0.34078945325073967,0.12290001,0.20428571105003357,0.21594301522298337,0.37285714285714283,0.3426755094269104,0.1135,0.20142856240272522,0.1975145754305239,0.36142857142857143,0.35104657201153594,0.1238,0.20714285969734192,0.2072883656155656,0.3657142857142857,0.3259508344289871,0.118200004,0.2028571367263794,0.18620715955603803,0.34,0.30254949425341054,0.11580001,0.1971428543329239,0.1997874156454129,0.35428571428571426,0.3342516802341688,0.11559999,0.18714284896850586,0.1793126330303446,0.3342857142857143,0.3018287988891317,597.0779023170471
GunPoint,2,50,150,0.9600000381469727,0.96,0.98,0.9799973332148096,0.5725,0.9466667175292969,0.9466571834992887,0.9733333333333334,0.9733333333333334,0.499,0.9466667175292969,0.9465811965811965,0.9866666666666667,0.9866666666666667,0.5,0.9600000381469727,0.9599928876244666,0.98,0.9799973332148096,0.5275,0.9399999976158142,0.9399759903961584,0.98,0.9800008889283968,0.496,0.9466667175292969,0.9465811965811965,0.98,0.9800008889283968,0.5125,0.9666666984558105,0.9666533279978657,0.96,0.9599857676570006,194.5374457836151
Ham,2,109,105,0.761904776096344,0.7618183467924871,0.6952380952380952,0.6915885882724497,0.557,0.761904776096344,0.7618183467924871,0.6761904761904762,0.6735771931663348,0.53400004,0.8095238208770752,0.8090909090909091,0.6761904761904762,0.6707936507936508,0.5345,0.7904762029647827,0.7903050108932461,0.7047619047619048,0.6998778998779,0.541,0.8095238208770752,0.8093681917211328,0.6857142857142857,0.6857142857142857,0.533,0.7714285850524902,0.7697368421052632,0.6857142857142857,0.6705549403223822,0.559,0.7904762029647827,0.7903050108932461,0.6666666666666666,0.6639905118146154,299.339599609375
Rock,4,20,50,0.8199999928474426,0.7901880096647539,0.52,0.39698113207547175,0.2685,0.7199999690055847,0.6720209339774558,0.56,0.5613032581453633,0.2845,0.6200000047683716,0.5514625352251332,0.5,0.39120000000000005,0.24199998,0.5999999642372131,0.5397119482757307,0.48,0.40663129973474804,0.27825,0.5600000023841858,0.42613636363636365,0.46,0.43443243243243246,0.25425,0.6200000047683716,0.5331140350877193,0.5,0.42942857142857144,0.25075,0.5399999618530273,0.5047024623803009,0.52,0.4821818181818181,70.06650710105896
"Found array with 1 sample(s) (shape=(1, 50)) while a minimum of 2 is required by GaussianMixture."
