dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_best_acc,classifier_augmented_best_f1,execution_time
ToeSegmentation2,2,36,130,0.807692289352417,0.732267896861356,0.8615384615384616,0.8636483516483516,0.8846153846153846,0.8703094263632382,24.318476676940918
Trace,4,100,100,0.8499999642372131,0.8450182093039236,1.0,1.0,0.98,0.9800156588212845,48.1162896156311
TwoLeadECG,2,23,1139,0.9209833145141602,0.920969612118147,0.8481123792800702,0.8481039492552627,0.8858647936786654,0.8858621542993799,22.842556715011597
TwoPatterns,4,1000,4000,0.7382500171661377,0.7446116782690084,0.87025,0.869323977547567,0.85425,0.853239171166292,91.13822627067566
UMD,3,36,144,0.8541666865348816,0.8552354451570577,0.7916666666666666,0.7935044105854049,0.7638888888888888,0.7582427692484619,21.560206174850464
UWaveGestureLibraryAll,8,896,3582,0.9380233883857727,0.9380869185473859,0.8961474036850922,0.8958696279280859,0.861250697934115,0.8602679858229171,4010.757122516632
UWaveGestureLibraryX,8,896,3582,0.7451144456863403,0.7226548175751143,0.7479061976549414,0.7426496521483921,0.7261306532663316,0.7095049865555285,396.998055934906
UWaveGestureLibraryY,8,896,3582,0.6761585474014282,0.6710166419637154,0.6404243439419319,0.6356310282549238,0.6197654941373534,0.607017760344612,323.8776533603668
UWaveGestureLibraryZ,8,896,3582,0.6747626662254333,0.6679864597629364,0.6591289782244556,0.6489611023125045,0.6423785594639866,0.6260930535572083,419.6544146537781
Wafer,2,1000,6164,0.9959442019462585,0.9893592743315107,0.996268656716418,0.9962772364130046,0.9941596365996106,0.9941163501574739,174.12199664115906
WordSynonyms,25,267,638,0.4811912178993225,0.2924698185619973,0.5047021943573667,0.43316601647632286,0.5047021943573667,0.4480874553568277,208.68751740455627
Worms,5,181,77,0.44155845046043396,0.14793650793650795,0.6753246753246753,0.6297812880234311,0.6493506493506493,0.5707070707070707,73.36880016326904
WormsTwoClass,2,181,77,0.649350643157959,0.6433350488934637,0.7532467532467533,0.7476997578692494,0.7792207792207793,0.7663526460462757,71.49156475067139
Yoga,2,300,3000,0.8603333234786987,0.8599879547314437,0.7956666666666666,0.7959247235044503,0.7866666666666666,0.7856826610783446,314.2325599193573
