dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,execution_time
Adiac,37,390,391,0.6700767278671265,0.6465257882956879,0.7570332480818415,0.7503013170054976,0.687979519367218,0.667431770551302,0.7442455242966752,0.7303085169359148,0.6496163606643677,0.6223423825946095,0.7365728900255755,0.7213048097347361,0.644501268863678,0.615448242741272,0.7058823529411765,0.6958499540484118,0.6572889685630798,0.6320496945533274,0.7033248081841432,0.6788149996461027,381.447557926178
ArrowHead,3,36,175,0.800000011920929,0.8013650793650794,0.7942857142857143,0.7951239786798615,0.7771428227424622,0.7780914794575997,0.7714285714285715,0.7710602049038794,0.7199999690055847,0.714449072939639,0.7542857142857143,0.7500714544104727,0.7028571367263794,0.7014239965059638,0.7314285714285714,0.7284718048306833,0.7428571581840515,0.7437085207012205,0.7771428571428571,0.7842062812960235,71.68335819244385
BME,3,30,150,0.9533333778381348,0.9537036666333033,0.7133333333333334,0.6956264602294522,0.9466667175292969,0.9467556253270538,0.7333333333333333,0.7233740003821064,0.9533333778381348,0.9531339773653479,0.74,0.7359408504268317,0.9666666984558105,0.9666646664666466,0.7466666666666667,0.7435042735042735,0.9800000190734863,0.9800653398673201,0.7933333333333333,0.7889013338900128,74.0270483493805
Beef,5,30,30,0.9000000357627869,0.8978621378621379,0.7,0.6767032967032968,0.9000000357627869,0.8956643356643357,0.9,0.8978621378621379,0.9000000357627869,0.8956643356643357,0.8,0.8005128205128206,0.9000000357627869,0.8958974358974359,0.8666666666666667,0.868997668997669,0.9333333969116211,0.9328671328671329,0.9,0.9020979020979021,97.94520854949951
stack expects a non-empty TensorList
stack expects a non-empty TensorList
CBF,3,30,900,0.9044444561004639,0.9041995410154614,0.9711111111111111,0.9709867621837187,0.9144444465637207,0.9149728296936925,0.9422222222222222,0.9421446193630781,0.9055556058883667,0.9042006733762156,0.9111111111111111,0.9118235459929457,0.9166666865348816,0.9162813300108751,0.8422222222222222,0.8427283087691618,0.8666666746139526,0.8660067455980723,0.8544444444444445,0.855965663859288,61.965123891830444
Car,4,60,60,0.8833333849906921,0.8824049513704686,0.5833333333333334,0.5505307268796114,0.8666667342185974,0.872014872014872,0.65,0.5749755642943196,0.8500000238418579,0.8498280423280424,0.65,0.5752020202020202,0.8833333849906921,0.8819056261343012,0.6333333333333333,0.5508641975308641,0.8666667342185974,0.8640484832771584,0.6833333333333333,0.6292459748126894,185.21304893493652
ChlorineConcentration,3,467,3840,0.9015625715255737,0.8874537214361817,0.7755208333333333,0.7642057054713581,0.8921875357627869,0.8800365210590241,0.7682291666666666,0.7558365736410926,0.8713542222976685,0.8569894067125979,0.7833333333333333,0.7748351455305215,0.8625000715255737,0.847377695225436,0.7848958333333333,0.7737421599098127,0.8750000596046448,0.856167186361182,0.7833333333333333,0.7722053454923251,503.4389023780823
CinCECGTorso,4,40,1380,0.8239130973815918,0.8250896183049854,0.8514492753623188,0.8507723032705307,0.7565217614173889,0.7584252315642042,0.8376811594202899,0.8369008054967672,0.72826087474823,0.7294312616500194,0.8405797101449275,0.8380134066189605,0.7326087355613708,0.7285010216202207,0.8521739130434782,0.8513872746140667,0.7043478488922119,0.6970680957881362,0.8478260869565217,0.8483030889676663,719.060911655426
