dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,execution_time
Adiac,37,390,391,0.7314577698707581,0.7154780667133933,0.7212276214833759,0.7066387827779901,0.7007672786712646,0.6776492703967836,0.7544757033248082,0.7469881500333688,0.7289002537727356,0.7111326855554843,0.7595907928388747,0.7512719051586477,0.695652186870575,0.6827078444316037,0.7442455242966752,0.7294620976811329,0.6930946111679077,0.6736350394508882,0.7621483375959079,0.7523413113725611,390.04644536972046
ArrowHead,3,36,175,0.8342856764793396,0.8319342454863072,0.7657142857142857,0.7634916624332683,0.8114285469055176,0.8115331062699483,0.7828571428571428,0.7859200000000001,0.7714285850524902,0.7669859514687101,0.8,0.8004755688744414,0.7371428608894348,0.7372005811348284,0.7428571428571429,0.7424385138670853,0.7485713958740234,0.7261341876565032,0.7428571428571429,0.7439900163440701,75.05140686035156
BME,3,30,150,0.9666666984558105,0.9664424648850632,0.6533333333333333,0.6354392135642135,0.9800000190734863,0.9800653398673201,0.7,0.6874109165382347,0.9666666984558105,0.9665013831480236,0.7,0.6853842793584544,0.9666666984558105,0.9663809316043793,0.7266666666666667,0.7211044795276602,0.9600000381469727,0.9601171760596315,0.7133333333333334,0.6861586952538025,58.05774521827698
Beef,5,30,30,0.9000000357627869,0.8978621378621379,0.7333333333333333,0.731934731934732,0.9000000357627869,0.8956643356643357,0.6666666666666666,0.6542424242424242,0.8666667342185974,0.8682517482517482,0.6333333333333333,0.6241258741258743,0.9000000357627869,0.8978621378621379,0.7666666666666667,0.7474725274725276,0.9000000357627869,0.9017316017316018,0.6333333333333333,0.6076190476190476,72.13552451133728
stack expects a non-empty TensorList
stack expects a non-empty TensorList
CBF,3,30,900,0.9000000357627869,0.8995657655133772,0.9777777777777777,0.97768483701418,0.8844444751739502,0.8838479340810026,0.9411111111111111,0.940848111887281,0.8788889050483704,0.8783640478646682,0.9311111111111111,0.9308739304513952,0.9166666865348816,0.9164613818839271,0.88,0.8797845987089417,0.8877778053283691,0.8877887329726052,0.8566666666666667,0.8575507575904988,46.11631464958191
Car,4,60,60,0.8666667342185974,0.867009867009867,0.6,0.5612411454156643,0.8666667342185974,0.8632478632478633,0.65,0.5787373737373737,0.8833333849906921,0.880091575091575,0.6166666666666667,0.5624130391572251,0.9000000357627869,0.9031339031339032,0.6333333333333333,0.6398809523809524,0.8833333849906921,0.8843772893772893,0.6666666666666666,0.5824353765530237,123.83829236030579
ChlorineConcentration,3,467,3840,0.9111979603767395,0.8958014226469029,0.7765625,0.7648495946961306,0.9075521230697632,0.8959993136807981,0.7932291666666667,0.7891244012137709,0.8861979842185974,0.8725792714863753,0.7510416666666667,0.7401128102353959,0.8744792342185974,0.8614826270431043,0.77890625,0.7745220227841793,0.8562500476837158,0.8332932943156776,0.7684895833333333,0.7650439805206323,571.3990912437439
CinCECGTorso,4,40,1380,0.8471014499664307,0.8493300808827373,0.8246376811594203,0.8246339923591653,0.7826087474822998,0.7861100075657801,0.8427536231884057,0.8402785977899779,0.7521739602088928,0.751543950049802,0.8543478260869565,0.8533856211856106,0.7340580224990845,0.7355458089383751,0.868840579710145,0.8680561069621783,0.7405797243118286,0.7370287858387988,0.8333333333333334,0.8302355475998036,490.8032217025757
stack expects a non-empty TensorList
stack expects a non-empty TensorList
Crop,24,7200,16800,0.7020833492279053,0.6996789736495299,0.7458333333333333,0.7442171171011968,0.6399404406547546,0.6209955307190246,0.7325595238095238,0.731225374301445,0.6834523677825928,0.6768759836631997,0.732202380952381,0.7301092134551247,0.6669047474861145,0.6606800390519793,0.7276785714285714,0.7245768303905394,0.6541666388511658,0.6448316012324748,0.7266666666666667,0.7243470098179448,1074.6334385871887
DistalPhalanxOutlineAgeGroup,3,400,139,0.7769784331321716,0.7416310492420429,0.7482014388489209,0.7472325483078583,0.7266187071800232,0.6458276103038627,0.7122302158273381,0.7126908534814622,0.7050359845161438,0.4963717770572796,0.7194244604316546,0.7256360569188752,0.7050359845161438,0.5981940035273369,0.697841726618705,0.6852453102453102,0.7050359845161438,0.49676150821188986,0.697841726618705,0.6819155966041937,117.16898274421692
stack expects a non-empty TensorList
DistalPhalanxTW,6,400,139,0.7122302055358887,0.5928047634549776,0.6906474820143885,0.6242439277418191,0.6834532618522644,0.39470332401366887,0.6906474820143885,0.6452179537158451,0.661870539188385,0.5264161904202841,0.6762589928057554,0.6249170641292412,0.6546762585639954,0.40161773092807573,0.6834532374100719,0.6515530660770841,0.661870539188385,0.527665544332211,0.6690647482014388,0.6424247412811845,159.46308588981628
stack expects a non-empty TensorList
ECG5000,5,500,4500,0.941777765750885,0.6126115616019226,0.9386666666666666,0.9246845123410842,0.941111147403717,0.5757520514914629,0.9402222222222222,0.9286897018783461,0.9364444613456726,0.6055303199439707,0.9377777777777778,0.92462153135484,0.9371111392974854,0.5996128770805768,0.9362222222222222,0.9203191623656055,0.9346666932106018,0.6140362557597546,0.9326666666666666,0.917620393594717,186.6087200641632
stack expects a non-empty TensorList
EOGHorizontalSignal,12,362,362,0.5,0.4802855019669338,0.49171270718232046,0.46464628727167984,0.4917127192020416,0.48357648274945336,0.46408839779005523,0.43186161152521363,0.46408841013908386,0.43446615177187375,0.5386740331491713,0.5100069145763698,0.4751381278038025,0.4632573173283878,0.5359116022099447,0.503663759494116,0.47790056467056274,0.4628284706183305,0.5138121546961326,0.4834250241985048,437.389684677124
EOGVerticalSignal,12,362,362,0.45303869247436523,0.41605087011292174,0.34806629834254144,0.2966174490467317,0.45303869247436523,0.4204365119271498,0.4143646408839779,0.37308965787416165,0.4281768202781677,0.4083933023871247,0.425414364640884,0.3613055459051857,0.39502763748168945,0.3634882445170662,0.3867403314917127,0.332812483910334,0.3977900743484497,0.34531278308189345,0.4281767955801105,0.35493043096250954,269.23310256004333
stack expects a non-empty TensorList
