dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,mean_trust_step_0,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,mean_trust_step_1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,mean_trust_step_2,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,mean_trust_step_3,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,mean_trust_step_4,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,mean_trust_step_5,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time
ShapeletSim,2,20,180,0.5222222208976746,0.4888389908862766,1.0,1.0,0.5505,0.5722222328186035,0.5715742944576674,1.0,1.0,0.54999995,0.5444444417953491,0.5275892971450518,0.9833333333333333,0.9833328189141639,0.54649997,0.5277777910232544,0.5169082125603864,1.0,1.0,0.5015,0.5277777910232544,0.40787182166492514,0.9722222222222222,0.97222136485694,0.5085,0.5555555820465088,0.4957276929541953,0.9944444444444445,0.9944442729713879,0.544,0.5555555820465088,0.5535714285714286,1.0,1.0,55.038896799087524
PhalangesOutlinesCorrect,2,1800,858,0.8426573872566223,0.8271490714280385,0.8205128205128205,0.8172765613131664,0.5145,0.8356643319129944,0.8232956246759222,0.8228438228438228,0.8242606737094927,0.5115,0.8310023546218872,0.8175472043996334,0.8158508158508159,0.8150769055834722,0.5015,0.824009358882904,0.8066630354491393,0.8158508158508159,0.8139068803275445,0.5,0.8368298411369324,0.8241967965530161,0.8298368298368298,0.8285440009185362,0.5005,0.8321678638458252,0.814321438876599,0.824009324009324,0.8238601740218563,0.4985,0.8228438496589661,0.8049311659018433,0.8228438228438228,0.8226425090061454,6389.872519493103
FacesUCR,14,200,2050,0.7712194919586182,0.7397055740693668,0.8634146341463415,0.8619454811222764,0.09542857,0.7536585330963135,0.707227286765889,0.8570731707317073,0.8557672522018611,0.08785714,0.7224390506744385,0.7169329820914797,0.8478048780487805,0.8443467321508931,0.086428575,0.7536585330963135,0.7202275333364857,0.8541463414634146,0.8529893003649425,0.092999995,0.7726829051971436,0.7322261804207741,0.8634146341463415,0.8635844711638164,0.09121429,0.7365853786468506,0.6994269066308705,0.8551219512195122,0.85258178645545,0.08342858,0.7487804889678955,0.7136220052999892,0.8424390243902439,0.8422997770470799,644.1168291568756
BME,3,30,150,0.9733333587646484,0.9733986732006534,0.6733333333333333,0.6564102564102564,0.39,0.9533333778381348,0.9530558890222757,0.6866666666666666,0.6737421512309816,0.36766663,0.9399999976158142,0.9401030982168291,0.64,0.6408047184746214,0.388,0.9200000166893005,0.9200600060006,0.6133333333333333,0.5907002202110461,0.37366667,0.9200000166893005,0.9197045523063009,0.6133333333333333,0.6049938800489595,0.38966668,0.9200000166893005,0.9192901383139181,0.5866666666666667,0.5742808489934926,0.36333334,0.8799999952316284,0.8803723509605863,0.5933333333333334,0.5744608648056924,77.77023315429688
Wafer,2,1000,6164,0.9961064457893372,0.9898460433503444,0.9970798182998053,0.9970817450607754,0.4995,0.9972420334815979,0.9928503271793392,0.9943218689162882,0.9943312108144873,0.508,0.9964308738708496,0.9907657392638304,0.9948085658663206,0.9948188064021692,0.5115,0.9969176054000854,0.9920510762940162,0.9941596365996106,0.9941863331502656,0.4995,0.9961064457893372,0.9898325298015138,0.9925373134328358,0.9925666029048671,0.501,0.9951330423355103,0.9872396733268046,0.9926995457495134,0.992721090970872,0.5015,0.9949707984924316,0.9869105548875566,0.9941596365996106,0.9942013012152957,3428.6903862953186
ProximalPhalanxOutlineAgeGroup,3,400,205,0.8585366010665894,0.7470396796752331,0.8682926829268293,0.8540376892380815,0.35366666,0.8634146451950073,0.7545286112258908,0.8731707317073171,0.8730704771591191,0.37966666,0.8682926893234253,0.7623774610758712,0.8878048780487805,0.8868853103235914,0.367,0.8682926893234253,0.7669925116373203,0.8926829268292683,0.8891655165186129,0.37566665,0.8634146451950073,0.8004774112670795,0.8780487804878049,0.8770821165371756,0.37066665,0.8682926893234253,0.7901220960234875,0.8780487804878049,0.8661190135145276,0.37366667,0.8585366010665894,0.7879085833161609,0.8780487804878049,0.8770821165371756,816.7414252758026
SwedishLeaf,15,500,625,0.8623999953269958,0.859921907765292,0.9328,0.9326536396797864,0.0726,0.8799999952316284,0.8784110543017174,0.9328,0.9323015521800789,0.07606666,0.871999979019165,0.8701299055390999,0.9376,0.9371526617235133,0.06833334,0.8831999897956848,0.8822444349847377,0.9168,0.9164447109707217,0.07686667,0.8511999845504761,0.8515919416531983,0.9312,0.9309585646517273,0.07753333,0.8639999628067017,0.8641895295448917,0.9216,0.9208897169469026,0.073066674,0.8912000060081482,0.8922074129208553,0.9168,0.9156457987898297,1064.604882478714
Fish,7,175,175,0.868571400642395,0.8703151752897831,0.7257142857142858,0.7297758062627251,0.16214286,0.8628571629524231,0.8675194105048025,0.6628571428571428,0.6464038086023945,0.16200002,0.8857142925262451,0.8864696641605277,0.6971428571428572,0.701277253417231,0.16871428,0.8285714387893677,0.8346391327970275,0.7085714285714285,0.7085582757585877,0.15214287,0.845714271068573,0.849333869007539,0.6971428571428572,0.6970157472649167,0.16071428,0.8285714387893677,0.8353948714992,0.6857142857142857,0.6853501881238522,0.15699999,0.822857141494751,0.8256722983792536,0.7142857142857143,0.7159803904245682,763.1176290512085
ECG5000,5,500,4500,0.9422222375869751,0.58533844984823,0.9402222222222222,0.9285857837771226,0.2062,0.9371111392974854,0.5670907784909243,0.9415555555555556,0.9329088554800433,0.21179998,0.9393333196640015,0.5676862616406307,0.94,0.9271715047451661,0.2002,0.93622225522995,0.5609092633974498,0.9408888888888889,0.9286333943778413,0.21199998,0.9377778172492981,0.5806295361913828,0.9393333333333334,0.9286088448772343,0.21580002,0.9368888735771179,0.5812281736182626,0.9402222222222222,0.9280674975982761,0.2164,0.9384444355964661,0.6002164312818346,0.9406666666666667,0.9279306526031592,1082.6974260807037
EthanolLevel,4,504,500,0.8240000605583191,0.8258832722347087,0.472,0.46154684159061277,0.27725,0.812000036239624,0.8137931431638954,0.45,0.41231576900641653,0.2605,0.7740000486373901,0.7774147571763559,0.44,0.3961804746300684,0.26999998,0.7900000214576721,0.7921515645063011,0.382,0.334377688975969,0.2635,0.7920000553131104,0.790615970658661,0.382,0.37166594744676934,0.254,0.8200000524520874,0.8174307969487363,0.38,0.3806006740565355,0.24675001,0.8320000171661377,0.830578964389202,0.382,0.36382978787229486,2069.613206386566
