,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24
Step 0,-0.05042233024021082,-0.0367825265290337,-0.10926237927597238,-0.07151056746960024,0.16973816755535803,0.02772908345008704,-0.029546512323601774,-0.2148536510359355,0.26324560932304036,-0.1297550523514741,0.0009341790431511114,0.13685927102780143,0.024682937383217144,-0.06039758636529874,-0.02639874968165794,0.1604186098975438,-0.12569459975513303,-0.14763753462936963,0.02180099080220632,0.04360138157957034,-0.1421254676858831,-0.16288583141929902,0.054068679795516876,0.22914270262834346
Step 1,0.030514886899848066,-0.004361290323845687,-0.20027336257627093,-0.3762243204762905,-0.17178357877276132,0.04536868735605408,0.15069884893099852,-0.18635976842361618,0.25781855775017337,-0.17133491719979504,-0.19107880191767274,-0.15968629348957264,-0.11961543957966927,-0.1583866385042445,0.10280198941650329,-0.0587672774812732,-0.1404753598382078,0.14971107857538216,-0.04512730948595745,0.03878384541416887,0.055239581212017747,0.13256857732082336,-0.04664406679871433,0.05249313673439623
Step 2,-0.14782112661674857,-0.17542715783230312,-0.20530225315468506,-0.33776650514941614,-0.0751980488720148,-0.035301617762662954,0.11369042423622182,-0.23376933989693716,0.25506426413571864,-0.17567197861998862,-0.11308837926567619,-0.17030791934009798,0.0731029327439508,-0.14781883443830732,0.08000730662446132,0.025274248686941385,-0.14858222181081965,0.03248725448280053,0.001046029134092135,-0.028331913037577348,-0.030401464039056213,0.06583277723937543,0.019242641415055647,0.0021924765537547253
Step 3,-0.07030790594138041,-0.06779590723297378,-0.3695552054963416,-0.3141439340682477,0.04152995889185392,0.034658695597738425,0.1347507300306018,-0.4512175865508028,0.16540066181189744,-0.30605400517649567,-0.03562347822597704,-0.08361919510254887,0.18307935823796936,-0.09196283615523031,-0.0187324702930036,0.10454517697547124,-0.2500452302608154,-0.04701602978633658,0.07048040985501007,-0.0019251169034811392,-0.10158977397324598,-0.020508008684561374,-0.020513289741919967,0.012472275264855429
Step 4,-0.0689519681601032,-0.09499629791537485,-0.12659819270386216,-0.22358685780027449,0.09028941730012383,0.007730823858483146,-0.0004880419732318144,-0.11182270575402649,0.2649505771711603,-0.09391366187021163,-0.11604036557813419,0.03076350019224481,0.10487386018497694,-0.08133456156480205,0.05895469721052827,0.15745550231635227,-0.02955173994057157,-0.13170451035227856,-0.005004177644998773,-0.039179868177718125,-0.16049473637881467,-0.08645655540287539,-0.08332980847093309,-0.03245294308270634
Step 5,0.033479227995523865,0.07590922894530375,-0.05161307342829137,-0.15707350565426914,0.1140610003754978,-0.049640342082804406,0.017351246189959542,-0.06500607093836577,0.2514358982784186,-0.05833045261211185,0.017153043798288425,-0.046724918660198414,0.05614128711460568,-0.06431754936801415,0.029871067733201577,0.11875538161664627,-0.029768351343234935,-0.11659239195932918,-0.054030086503969,0.021590831868365606,-0.09400633796975913,-0.07002672347303521,0.04313881670408034,0.057133439296648686
