dataset,num_classes,num_train_samples,num_test_samples,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,execution_time
Adiac,37,780,391,0.0741687979539642,0.0259694424542489,23.9709210395813
Lightning2,2,120,61,0.45901639344262296,0.28881930373917847,2.259861946105957
WormsTwoClass,2,362,77,0.7792207792207793,0.7720331757228122,8.195704698562622
EOGHorizontalSignal,12,724,362,0.16574585635359115,0.04836194580497583,14.821810483932495
InsectWingbeatSound,11,440,1980,0.22727272727272727,0.11255874829510987,23.640090465545654
ArrowHead,3,72,175,0.6114285714285714,0.5022413175796635,1.6436491012573242
GesturePebbleZ1,6,264,172,0.1686046511627907,0.04865208839523314,4.7257959842681885
GunPointOldVersusYoung,2,272,315,0.5238095238095238,0.3601190476190476,4.4713921546936035
Earthquakes,2,644,139,0.7697841726618705,0.6881989145525685,12.558246850967407
GesturePebbleZ2,6,292,158,0.2468354430379747,0.11958275785147109,4.830456495285034
Lightning7,7,140,73,0.2876712328767123,0.173851430449159,2.4284820556640625
Worms,5,362,77,0.6103896103896104,0.48759276437847865,8.674223184585571
DiatomSizeReduction,4,32,306,0.5490196078431373,0.4369747899159664,1.2930583953857422
SemgHandGenderCh2,2,600,600,0.6883333333333334,0.6016766254613424,15.910717725753784
TwoLeadECG,2,46,1139,0.5004389815627743,0.33382120478733923,1.176788330078125
MiddlePhalanxTW,6,798,154,0.38961038961038963,0.34065911510029817,23.954075813293457
ItalyPowerDemand,2,134,1029,0.9251700680272109,0.9250653158474149,3.0443758964538574
ProximalPhalanxOutlineCorrect,2,1200,291,0.3161512027491409,0.1518846509290912,18.563316822052002
Coffee,2,56,28,0.8571428571428571,0.8556776556776556,1.176896333694458
MedicalImages,10,762,760,0.5736842105263158,0.47495873028880087,35.006903886795044
BirdChicken,2,40,20,0.5,0.3333333333333333,0.7708780765533447
MixedShapesRegularTrain,5,1000,2425,0.49567010309278353,0.36294256398476954,33.533477783203125
FordB,2,7272,810,0.6555555555555556,0.6551809372626644,122.46718525886536
InlineSkate,7,200,550,0.16363636363636364,0.04602272727272727,7.586561679840088
PigAirwayPressure,52,208,208,0.057692307692307696,0.017878202088728402,5.7799623012542725
UMD,3,72,144,0.5069444444444444,0.41413506529785604,2.08703351020813
MiddlePhalanxOutlineCorrect,2,1200,291,0.7079037800687286,0.6943121337384,54.37655067443848
FordA,2,7202,1320,0.7848484848484848,0.7805164572616304,123.28203058242798
SmoothSubspace,3,300,150,0.9866666666666667,0.9866659999333266,5.227915525436401
PLAID,11,1074,537,0.21042830540037244,0.11374751877545175,23.825724601745605
ToeSegmentation2,2,72,130,0.8538461538461538,0.830925518925519,1.4692904949188232
GestureMidAirD2,26,416,130,0.06923076923076923,0.032602952602952595,19.07724094390869
Crop,24,14400,16800,0.2800595238095238,0.2167649880873986,262.22995138168335
ECGFiveDays,2,46,861,0.5435540069686411,0.43598075633354894,2.053514242172241
PickupGestureWiimoteZ,10,100,50,0.6,0.5542857142857143,5.855123043060303
ToeSegmentation1,2,80,228,0.543859649122807,0.401031648889666,1.4735214710235596
CricketX,12,780,390,0.26153846153846155,0.18491829099898752,15.204735279083252
InsectEPGSmallTrain,3,34,249,1.0,1.0,1.296208143234253
FreezerSmallTrain,2,56,2850,0.6217543859649123,0.5792328981448611,9.267079591751099
Chinatown,2,40,343,0.27405247813411077,0.117899006611471,0.8231253623962402
CricketY,12,780,390,0.2230769230769231,0.1580548413662186,17.114501953125
Computers,2,500,250,0.5,0.3333333333333333,8.48392128944397
OliveOil,4,60,30,0.4,0.22857142857142856,2.457548141479492
EthanolLevel,4,1008,500,0.248,0.09856410256410256,21.029041290283203
GestureMidAirD1,26,416,130,0.08461538461538462,0.017294848442389425,6.7744364738464355
Beef,5,60,30,0.3,0.20640096618357487,1.2841322422027588
