dataset,num_classes,num_train_samples,num_test_samples,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,execution_time
DistalPhalanxOutlineAgeGroup,3,800,139,0.6762589928057554,0.637817400077317,58.602128982543945
PigArtPressure,52,208,208,0.038461538461538464,0.007786028404585106,19.877169370651245
ShapeletSim,2,40,180,0.9888888888888889,0.9888888888888889,1.8826186656951904
WordSynonyms,25,534,638,0.13793103448275862,0.04325858690868163,16.629208087921143
Yoga,2,600,3000,0.545,0.5132242311150538,26.459889888763428
Car,4,120,60,0.4,0.33237404533136244,5.663916349411011
Phoneme,39,428,1896,0.13291139240506328,0.05178295408419505,33.26409959793091
MiddlePhalanxOutlineAgeGroup,3,800,154,0.5714285714285714,0.4155844155844156,19.420849561691284
Plane,7,210,105,0.3142857142857143,0.1639846743295019,7.832480430603027
AllGestureWiimoteY,10,600,700,0.27285714285714285,0.19021296370657462,54.42651987075806
HandOutlines,2,2000,370,0.35945945945945945,0.19009188114555906,102.0715503692627
Fish,7,350,175,0.17142857142857143,0.06436578496880005,15.30516266822815
SonyAIBORobotSurface1,2,40,601,0.8552412645590682,0.8553417242473371,2.404629945755005
ElectricDevices,7,17852,7711,0.4039683568927506,0.3556594517972182,415.39267206192017
Wafer,2,2000,6164,0.9406229720960415,0.9382401374785977,154.77323985099792
PhalangesOutlinesCorrect,2,3600,858,0.38694638694638694,0.21590958061546298,81.81574320793152
ACSF1,10,200,100,0.11,0.04380952380952381,8.13341236114502
ShapesAll,60,1200,600,0.03666666666666667,0.008303692442966972,39.41908049583435
FaceFour,4,48,88,0.45454545454545453,0.38379073756432247,2.0622482299804688
Wine,2,114,54,0.6111111111111112,0.5418181818181819,3.439289093017578
Meat,3,120,60,0.3333333333333333,0.16666666666666666,3.1242849826812744
DistalPhalanxTW,6,800,139,0.39568345323741005,0.2969929390246985,20.659168243408203
UWaveGestureLibraryAll,8,1792,3582,0.2481853713009492,0.1450363904697052,79.20339488983154
Ham,2,218,105,0.4857142857142857,0.31758241758241756,5.6989428997039795
FacesUCR,14,400,2050,0.10682926829268292,0.03175171394679875,11.99131155014038
GunPointMaleVersusFemale,2,270,316,0.8892405063291139,0.8872076473891877,11.049501657485962
AllGestureWiimoteX,10,600,700,0.1,0.018181818181818184,17.07909083366394
Haptics,5,310,308,0.21753246753246752,0.12168927563664407,11.021839141845703
Strawberry,2,1226,370,0.6945945945945946,0.684519497378145,39.6791033744812
MoteStrain,2,40,1252,0.6613418530351438,0.6607090281355229,3.314470052719116
UWaveGestureLibraryX,8,1792,3582,0.2878280290340592,0.1832993910721231,55.0586256980896
CUDA out of memory. Tried to allocate 4.03 GiB. GPU 
DistalPhalanxOutlineCorrect,2,1200,276,0.4166666666666667,0.2450980392156863,26.76061201095581
DodgerLoopWeekend,2,40,138,0.7391304347826086,0.6282608695652174,1.280764102935791
UWaveGestureLibraryZ,8,1792,3582,0.24455611390284757,0.18101316041115778,54.153523206710815
UWaveGestureLibraryY,8,1792,3582,0.2766610831937465,0.1553595491760127,75.75135326385498
ProximalPhalanxTW,6,800,205,0.1951219512195122,0.06371329019412643,19.161314249038696
DodgerLoopDay,7,156,80,0.1625,0.045430107526881716,4.712230205535889
AllGestureWiimoteZ,10,600,700,0.24,0.1675407225027783,59.23837685585022
SwedishLeaf,15,1000,625,0.1904,0.07791640274565641,27.814538955688477
Trace,4,200,100,1.0,1.0,10.77600908279419
SmallKitchenAppliances,3,750,375,0.5226666666666666,0.43410671041324894,34.05831241607666
InsectEPGRegularTrain,3,124,249,1.0,1.0,4.4266510009765625
NonInvasiveFetalECGThorax1,42,3600,1965,0.07633587786259542,0.017440098808617945,502.28747487068176
CBF,3,60,900,0.9755555555555555,0.9755749803790948,6.392358303070068
GunPointAgeSpan,2,270,316,0.5063291139240507,0.3403893202850761,6.792062044143677
ScreenType,3,750,375,0.43733333333333335,0.34313582290601624,21.46817684173584
NonInvasiveFetalECGThorax2,42,3600,1965,0.06463104325699745,0.012514102227795233,290.09142327308655
SonyAIBORobotSurface2,2,54,953,0.7681007345225603,0.7409693676006206,1.849410057067871
FiftyWords,50,900,455,0.15824175824175823,0.04528558047949132,30.761648893356323
Mallat,8,110,2345,0.24861407249466952,0.11480594224025052,23.651007413864136
PowerCons,2,360,180,0.5222222222222223,0.38089905615101577,10.421046733856201
Rock,4,40,50,0.18,0.05491525423728814,3.2494351863861084
SyntheticControl,6,600,300,0.8466666666666667,0.8398410459348884,18.97438335418701
TwoPatterns,4,2000,4000,0.6215,0.5566562537511455,51.41112208366394
SemgHandMovementCh2,6,900,450,0.19333333333333333,0.10303709267439838,39.24295997619629
FreezerRegularTrain,2,300,2850,0.8217543859649122,0.8216467921553169,19.79288673400879
EOGVerticalSignal,12,724,362,0.1712707182320442,0.08010954118593669,35.1950044631958
ChlorineConcentration,3,934,3840,0.54375,0.39896690805648266,42.4359016418457
ECG200,2,200,100,0.78,0.7768627450980392,5.994246959686279
GestureMidAirD3,26,416,130,0.1,0.027823920265780733,14.511117458343506
OSULeaf,6,400,242,0.2024793388429752,0.09447541991841854,13.555948734283447
ECG5000,5,1000,4500,0.8891111111111111,0.8594574642730155,31.706982612609863
ShakeGestureWiimoteZ,10,100,50,0.6,0.5067492148374502,4.755394220352173
Fungi,18,36,186,0.11827956989247312,0.02868974735359756,1.3035502433776855
PigCVP,52,208,208,0.04807692307692308,0.021911756825549928,20.149693250656128
SemgHandSubjectCh2,5,900,450,0.29333333333333333,0.17752735758811722,73.4396607875824
CinCECGTorso,4,80,1380,0.5224637681159421,0.4455674330659265,65.65484237670898
MixedShapesSmallTrain,5,200,2425,0.345979381443299,0.1865724236594907,128.27705812454224
BeetleFly,2,40,20,0.75,0.7442455242966752,1.25880765914917
BME,3,60,150,0.5466666666666666,0.5299872569572902,4.217263221740723
ProximalPhalanxOutlineAgeGroup,3,800,205,0.5365853658536586,0.4666920890597274,45.49035096168518
HouseTwenty,2,80,119,0.7647058823529411,0.7524555788544312,4.9182822704315186
CricketZ,12,780,390,0.23076923076923078,0.13705608449727433,21.84924292564392
LargeKitchenAppliances,3,750,375,0.7466666666666667,0.7415287324221544,37.42765688896179
DodgerLoopGame,2,40,138,0.6884057971014492,0.6769882651927894,2.0520434379577637
RefrigerationDevices,3,750,375,0.49066666666666664,0.40847805983618796,23.15418767929077
MelbournePedestrian,10,2388,2439,0.23288232882328824,0.11498339654625815,65.3725278377533
FaceAll,14,1120,1690,0.05325443786982249,0.005889725878427507,44.451422452926636
Symbols,6,50,995,0.33869346733668343,0.18656485744454973,4.99960732460022
GunPoint,2,100,150,0.6133333333333333,0.5578921568627451,4.659834384918213
Herring,2,128,64,0.59375,0.4424019607843137,3.2871992588043213
Adiac,37,780,391,0.0639386189258312,0.01769462312740732,31.17268180847168
Lightning2,2,120,61,0.6229508196721312,0.5769989913954936,5.187170505523682
WormsTwoClass,2,362,77,0.7272727272727273,0.696361105587592,10.842581033706665
EOGHorizontalSignal,12,724,362,0.1574585635359116,0.059388837859698666,24.033458709716797
InsectWingbeatSound,11,440,1980,0.18484848484848485,0.09758786382903537,22.54029417037964
ArrowHead,3,72,175,0.5771428571428572,0.5801389974594489,2.171085834503174
GesturePebbleZ1,6,264,172,0.1686046511627907,0.04865208839523314,6.657223224639893
GunPointOldVersusYoung,2,272,315,0.5238095238095238,0.3601190476190476,6.776589632034302
Earthquakes,2,644,139,0.762589928057554,0.6836315305656987,28.319290161132812
GesturePebbleZ2,6,292,158,0.16455696202531644,0.05455388675052577,7.399655818939209
Lightning7,7,140,73,0.2876712328767123,0.14240203886588088,3.5122764110565186
Worms,5,362,77,0.5714285714285714,0.45140573712002285,11.637904644012451
DiatomSizeReduction,4,32,306,0.30718954248366015,0.14437908496732027,1.6931202411651611
SemgHandGenderCh2,2,600,600,0.7283333333333334,0.7235458819300585,31.915443658828735
TwoLeadECG,2,46,1139,0.5030728709394205,0.3529588852456565,2.4861929416656494
MiddlePhalanxTW,6,798,154,0.3051948051948052,0.16977730385419043,23.23300290107727
ItalyPowerDemand,2,134,1029,0.9193391642371235,0.919325450256223,4.412475109100342
ProximalPhalanxOutlineCorrect,2,1200,291,0.6838487972508591,0.5554526965425345,36.64081788063049
Coffee,2,56,28,0.7857142857142857,0.7857142857142857,3.1044232845306396
MedicalImages,10,762,760,0.5421052631578948,0.3955236424394319,32.09333038330078
BirdChicken,2,40,20,0.5,0.3333333333333333,1.1539056301116943
MixedShapesRegularTrain,5,1000,2425,0.3030927835051546,0.1909800124074161,65.28364896774292
FordB,2,7272,810,0.5777777777777777,0.5775305645177139,755.6826171875
InlineSkate,7,200,550,0.15818181818181817,0.04605644399622213,15.448477029800415
PigAirwayPressure,52,208,208,0.057692307692307696,0.0392156862745098,13.240167140960693
UMD,3,72,144,0.6388888888888888,0.5337608083163315,3.484861373901367
MiddlePhalanxOutlineCorrect,2,1200,291,0.5738831615120275,0.4221435605049279,28.271284341812134
