dataset,num_classes,num_train_samples,num_test_samples,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,execution_time
FordA,2,7202,1320,0.8212121212121212,0.8212203375668449,378.57423734664917
SmoothSubspace,3,300,150,1.0,1.0,7.4728498458862305
PLAID,11,1074,537,0.1750465549348231,0.09515809911402329,48.5786337852478
ToeSegmentation2,2,72,130,0.8615384615384616,0.8373203059304049,2.094625949859619
GestureMidAirD2,26,416,130,0.1,0.02850098993156497,28.565946578979492
Crop,24,14400,16800,0.2838095238095238,0.22547847105152707,372.9555277824402
ECGFiveDays,2,46,861,0.7154471544715447,0.7036791777955119,4.3117663860321045
PickupGestureWiimoteZ,10,100,50,0.54,0.4498538011695906,4.951025724411011
ToeSegmentation1,2,80,228,0.4824561403508772,0.3235909544155864,2.4037551879882812
CricketX,12,780,390,0.2846153846153846,0.20902915609799128,24.544159650802612
InsectEPGSmallTrain,3,34,249,1.0,1.0,2.3610894680023193
FreezerSmallTrain,2,56,2850,0.751578947368421,0.7514456506314743,8.460193395614624
Chinatown,2,40,343,0.7288629737609329,0.6174816508795037,2.318988800048828
CricketY,12,780,390,0.20512820512820512,0.12381356485704312,26.346925973892212
Computers,2,500,250,0.512,0.35945900537634407,27.514966011047363
OliveOil,4,60,30,0.4,0.22857142857142856,2.9264822006225586
EthanolLevel,4,1008,500,0.252,0.101444089456869,40.257195711135864
GestureMidAirD1,26,416,130,0.06923076923076923,0.015251550069363833,11.350661039352417
Beef,5,60,30,0.23333333333333334,0.12058823529411765,1.7455670833587646
