dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,mean_trust_step_0,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,mean_trust_step_1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,mean_trust_step_2,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,mean_trust_step_3,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,mean_trust_step_4,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,mean_trust_step_5,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time
DistalPhalanxOutlineAgeGroup,3,400,139,0.7625899314880371,0.7216858854026996,0.7985611510791367,0.7991732664288737,0.37133333,0.7625899314880371,0.7199103641456582,0.8057553956834532,0.8063673199371538,0.347,0.7913669347763062,0.7600148643626904,0.762589928057554,0.7607396097510482,0.35333332,0.7482014298439026,0.7374244686583494,0.7553956834532374,0.7532160571224648,0.3726667,0.7338129878044128,0.7274201872742019,0.7769784172661871,0.7780453857889859,0.35300002,0.7769784331321716,0.7510026737967914,0.7697841726618705,0.7664104741051878,0.365,0.7769784331321716,0.7416310492420429,0.7913669064748201,0.7917378876055483,610.135983467102
All augmented samples were dropped. No data to return.
ShapeletSim,2,20,180,0.5388889312744141,0.5207698476343224,1.0,1.0,0.528,0.5555555820465088,0.5115995115995116,1.0,1.0,0.5185,0.550000011920929,0.49161407301509813,1.0,1.0,0.519,0.5888888835906982,0.5863867842504037,1.0,1.0,0.5125,0.5611111521720886,0.5561659227816098,0.9944444444444445,0.9944442729713879,0.4895,0.5722222328186035,0.5651218976499012,1.0,1.0,0.543,0.5888888835906982,0.5652173913043478,1.0,1.0,40.16371035575867
WordSynonyms,25,267,638,0.5956112742424011,0.44556504110900924,0.5360501567398119,0.49220030721715485,0.051960003,0.5579937100410461,0.40379223839305,0.5438871473354232,0.4942309446859824,0.0514,0.5705329179763794,0.4047859954369349,0.5282131661442007,0.4621366780973798,0.05132,0.5501567125320435,0.3772597983295235,0.5313479623824452,0.4686494619504695,0.058280006,0.5673981308937073,0.40177410499842225,0.5297805642633229,0.4776877917866035,0.05648,0.5783699154853821,0.4033444484681409,0.5344827586206896,0.46852330548691085,0.048720002,0.568965494632721,0.4026025607901048,0.5015673981191222,0.439358553249314,639.0008642673492
Yoga,2,300,3000,0.8703333139419556,0.8696639127072101,0.7893333333333333,0.7884263229521657,0.5055,0.8140000104904175,0.8106676667877609,0.7596666666666667,0.7594624902940632,0.4985,0.8256666660308838,0.8255743955218977,0.8013333333333333,0.80047798810046,0.5155,0.8486666679382324,0.8472590056628555,0.776,0.7758699722191911,0.50200003,0.8466666340827942,0.844946328958273,0.781,0.7810905375210264,0.51,0.7683333158493042,0.7682715133226097,0.7933333333333333,0.7935927706552707,0.4925,0.8299999833106995,0.8291467970719557,0.7746666666666666,0.7740141863075196,1960.0404727458954
Car,4,60,60,0.8500000238418579,0.8563427800269906,0.5666666666666667,0.5475373085695666,0.29500002,0.8333333730697632,0.832673198526857,0.5666666666666667,0.5117278554778555,0.28100002,0.8333333730697632,0.8355263157894737,0.5833333333333334,0.520026525198939,0.27375,0.8000000715255737,0.8004237310044933,0.5833333333333334,0.5267643467643468,0.26950002,0.8333333730697632,0.8238493105253273,0.55,0.49091689091689084,0.28649998,0.8000000715255737,0.8097435897435897,0.5833333333333334,0.524627961294628,0.28899997,0.8666667342185974,0.8695844385499558,0.5166666666666667,0.45185185185185184,119.09640717506409
"Found array with 1 sample(s) (shape=(1, 50)) while a minimum of 2 is required by GaussianMixture."
MiddlePhalanxOutlineAgeGroup,3,400,154,0.6298701167106628,0.453393665158371,0.6428571428571429,0.5776886915447603,0.36833334,0.6298701167106628,0.49301521621884475,0.6558441558441559,0.5860132973176452,0.34966668,0.649350643157959,0.46406717276282494,0.6558441558441559,0.5854507766012191,0.35833335,0.6233766078948975,0.4103141603141603,0.6558441558441559,0.5784091965242517,0.369,0.6168830990791321,0.3792750197005516,0.6623376623376623,0.5900034059825809,0.373,0.6298701167106628,0.42720837720837723,0.6558441558441559,0.5917743227773623,0.33533335,0.6428571343421936,0.44811239811239806,0.6493506493506493,0.5801008515294229,461.30984330177307
Plane,7,105,105,0.9904762506484985,0.9907834101382489,1.0,1.0,0.17628573,0.9904762506484985,0.9907834101382489,1.0,1.0,0.15542857,0.9904762506484985,0.9907834101382489,1.0,1.0,0.166,1.0,1.0,1.0,1.0,0.15642858,1.0,1.0,1.0,1.0,0.16371429,1.0,1.0,1.0,1.0,0.17342857,0.9904762506484985,0.9896774193548387,1.0,1.0,114.86413717269897
AllGestureWiimoteY,10,300,700,0.21142856776714325,0.19423859330945104,0.3357142857142857,0.29571307146969167,0.118300006,0.2199999988079071,0.21087101911468978,0.30714285714285716,0.2713958341357254,0.1208,0.20999999344348907,0.20093208385487776,0.3171428571428571,0.2854377146250593,0.1206,0.20000000298023224,0.18937522352480454,0.28285714285714286,0.23623191957090353,0.1158,0.21857142448425293,0.1973036477910995,0.31142857142857144,0.30068318818689543,0.12359999,0.21285714209079742,0.19622892421556487,0.30428571428571427,0.2879121551925554,0.118999995,0.1842857152223587,0.1657177891133129,0.2857142857142857,0.2613174325793326,363.18204402923584
