dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,execution_time
Adiac,37,390,391,0.6803069114685059,0.659293200260339,0.7161125319693095,0.7018504767918138,0.6854220032691956,0.6626752819228254,0.7416879795396419,0.7245307918225816,0.7058823704719543,0.6910686518900664,0.7493606138107417,0.7309857477378614,0.6828644275665283,0.657927099491913,0.7161125319693095,0.6915459857942793,0.6368286609649658,0.6097496494657141,0.7621483375959079,0.7588836724723708,384.5982630252838
ArrowHead,3,36,175,0.8399999737739563,0.8378836849425085,0.7942857142857143,0.793014328884263,0.8057142496109009,0.8031264429450228,0.8057142857142857,0.8050746438559333,0.8285714387893677,0.8277725527852134,0.7771428571428571,0.7797260194247506,0.7599999904632568,0.7607895052039009,0.7885714285714286,0.7875292677153142,0.7885714173316956,0.7828000314337356,0.7885714285714286,0.7920822364076601,82.13170790672302
BME,3,30,150,0.9666666984558105,0.9667946386475382,0.6866666666666666,0.6724534052951522,0.9600000381469727,0.960181032303085,0.68,0.6619820914703992,0.9600000381469727,0.9601171760596315,0.6933333333333334,0.6815908997068417,0.9533333778381348,0.9534282311726319,0.6866666666666666,0.6837585284187225,0.9666666984558105,0.966655995731626,0.7066666666666667,0.6844455074543571,64.70270490646362
Beef,5,30,30,0.9000000357627869,0.8978621378621379,0.6666666666666666,0.6573737373737373,0.9000000357627869,0.8958974358974359,0.7,0.6601375095492743,0.9000000357627869,0.8978621378621379,0.5666666666666667,0.5023809523809524,0.8666667342185974,0.8682517482517482,0.7333333333333333,0.7363636363636363,0.8666667342185974,0.8683982683982684,0.7333333333333333,0.7143434343434344,85.35360932350159
stack expects a non-empty TensorList
stack expects a non-empty TensorList
CBF,3,30,900,0.9100000262260437,0.9094804432870832,0.97,0.9699393488924476,0.897777795791626,0.8970964700568468,0.9388888888888889,0.9383664366372596,0.8966667056083679,0.8962812927380179,0.9244444444444444,0.9242151964954398,0.8833333253860474,0.8830091707768336,0.9033333333333333,0.9029044434961606,0.902222216129303,0.8990363565973322,0.8777777777777778,0.87899163685332,49.77666902542114
Car,4,60,60,0.8666667342185974,0.8691951566951568,0.6166666666666667,0.5703181386514719,0.8833333849906921,0.8866406193992402,0.65,0.6110840620031797,0.9000000357627869,0.9033855283855283,0.65,0.641045329959941,0.9000000357627869,0.9031339031339032,0.6666666666666666,0.6546782496782497,0.9166666865348816,0.918019943019943,0.6666666666666666,0.581813015061097,141.04478216171265
ChlorineConcentration,3,467,3840,0.9127604365348816,0.8993053627322891,0.76953125,0.7612961846372713,0.9044271111488342,0.8945358832650879,0.7541666666666667,0.7373093747197543,0.8804687857627869,0.8675392593514882,0.7817708333333333,0.7711450941531626,0.8687500357627869,0.8479469310978222,0.7546875,0.748229786358903,0.8656250238418579,0.8503288455642419,0.7669270833333334,0.7599218401693818,553.0689685344696
CinCECGTorso,4,40,1380,0.8304347991943359,0.8329322648922217,0.8231884057971014,0.8221192336902633,0.7021739482879639,0.6913880482263535,0.8695652173913043,0.8664745667589764,0.7420290112495422,0.7397703985301094,0.8659420289855072,0.8665542935879704,0.7362319231033325,0.732316589836879,0.8804347826086957,0.8788551161729617,0.7014492750167847,0.7028420001283058,0.8615942028985507,0.860327570106061,544.9988369941711
stack expects a non-empty TensorList
stack expects a non-empty TensorList
Crop,24,7200,16800,0.6719047427177429,0.6684760210230359,0.7469642857142857,0.7461453905712435,0.6508333086967468,0.6437576322724391,0.7360119047619048,0.7336368721933126,0.6565476059913635,0.6443119572961773,0.7379761904761905,0.7359603127833766,0.6554762125015259,0.6514511782976896,0.7335714285714285,0.7304989494928293,0.6709523797035217,0.666232256769874,0.7293452380952381,0.7279631002060882,1060.7004792690277
DistalPhalanxOutlineAgeGroup,3,400,139,0.7625899314880371,0.7036807278742763,0.7769784172661871,0.7780350892897635,0.7338129878044128,0.675810391496666,0.7122302158273381,0.7011757218750917,0.6978417634963989,0.6335748874448565,0.7050359712230215,0.6849211330286888,0.7194244861602783,0.6647479504622361,0.7482014388489209,0.7479730501313234,0.6978417634963989,0.4914698162729659,0.7482014388489209,0.7388250211696373,184.32662749290466
stack expects a non-empty TensorList
DistalPhalanxTW,6,400,139,0.633093535900116,0.41005575267594874,0.7122302158273381,0.6550308271540378,0.6978417634963989,0.5845416588520037,0.7050359712230215,0.6587791085972357,0.6834532618522644,0.538049085964082,0.7050359712230215,0.6215736164384144,0.6762589812278748,0.43664740713422256,0.697841726618705,0.6494966059820021,0.6834532618522644,0.5430681390167761,0.6834532374100719,0.6638932472472537,136.89232778549194
stack expects a non-empty TensorList
ECG5000,5,500,4500,0.941111147403717,0.574294285631127,0.9402222222222222,0.924560942380209,0.9357777833938599,0.5830568056188686,0.9393333333333334,0.9273117001999239,0.9357777833938599,0.6136374690911159,0.9386666666666666,0.9283894626533751,0.9359999895095825,0.6130690030307058,0.9371111111111111,0.9259978722436291,0.9344444274902344,0.6026244663811442,0.9331111111111111,0.9171897681011844,227.9947383403778
stack expects a non-empty TensorList
EOGHorizontalSignal,12,362,362,0.4723757207393646,0.47279089272027824,0.505524861878453,0.4922448358943347,0.5027624368667603,0.5098266677123571,0.46685082872928174,0.4327705753986682,0.49723759293556213,0.4834949809810303,0.505524861878453,0.47784663608575534,0.4723757207393646,0.46191235487102406,0.5,0.46684190434102374,0.4917127192020416,0.48817919601288867,0.47790055248618785,0.4579287698020118,394.0212700366974
All augmented samples were dropped. No data to return.
stack expects a non-empty TensorList
ElectricDevices,7,8926,7711,0.5627025961875916,0.4238417126533972,0.7015951238490468,0.6918335537504323,0.53326416015625,0.44189582233508606,0.7113214887822591,0.6952095852921031,0.5308001637458801,0.4412663227597981,0.6890156918687589,0.6697086773193509,0.5348203778266907,0.43498856588348644,0.6801971209959797,0.6699389025731349,0.5371547341346741,0.42085311219821697,0.6805861755933083,0.6581916792692921,768.5437903404236
EthanolLevel,4,504,500,0.7920000553131104,0.7947912604110393,0.39,0.37380872513631863,0.784000039100647,0.7895098122209501,0.484,0.43657059467017884,0.7580000162124634,0.7571646646226478,0.506,0.4766682509757011,0.7280000448226929,0.7246402075571445,0.482,0.45625166422874525,0.7280000448226929,0.7258270248477743,0.492,0.48328941057850044,730.0192131996155
FaceAll,14,560,1690,0.7644970417022705,0.7814662214831206,0.9112426035502958,0.9143175179671278,0.6177514791488647,0.6526552110822579,0.9378698224852071,0.9389856577407657,0.6562129855155945,0.645714771500316,0.8982248520710059,0.9005116135504492,0.6372780799865723,0.6260762820086738,0.9011834319526627,0.9063237409673341,0.60532546043396,0.6043098364802193,0.9011834319526627,0.9027902004983669,213.3111674785614
FaceFour,4,24,88,0.886363685131073,0.8896449884301547,0.75,0.7486582202204043,0.8977273106575012,0.9025012025012025,0.7272727272727273,0.6842799654296982,0.8977273106575012,0.9028290147855365,0.75,0.7492388638183954,0.9090909361839294,0.9133597883597884,0.7840909090909091,0.7822125261743906,0.875,0.8820289702035414,0.7159090909090909,0.7193280910605911,58.2638521194458
FacesUCR,14,200,2050,0.8029268383979797,0.7556600861411457,0.855609756097561,0.8558749361790872,0.714634120464325,0.6801129787355434,0.8595121951219512,0.8588512216055552,0.6775609850883484,0.6417977179920985,0.8419512195121951,0.8428745399604107,0.704878032207489,0.6887627419836805,0.8312195121951219,0.8296765801011934,0.7053658366203308,0.678104848498963,0.7995121951219513,0.79738808000387,364.70267367362976
Fish,7,175,175,0.9028571248054504,0.9040867148882182,0.6685714285714286,0.6743092559809885,0.8799999952316284,0.8838720206872731,0.72,0.718215478860594,0.8799999952316284,0.8805838533007634,0.7371428571428571,0.7368792678152474,0.8857142925262451,0.887936158258909,0.76,0.7615830652383293,0.8628571629524231,0.8637278728603113,0.76,0.7621522442867513,223.7728888988495
stack expects a non-empty TensorList
stack expects a non-empty TensorList
stack expects a non-empty TensorList
stack expects a non-empty TensorList
stack expects a non-empty TensorList
stack expects a non-empty TensorList
stack expects a non-empty TensorList
stack expects a non-empty TensorList
stack expects a non-empty TensorList
