dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,execution_time
Adiac,37,390,391,0.6700767278671265,0.6465257882956879,0.7186700767263428,0.7123243879716277,0.6854220032691956,0.67856206752661,0.7135549872122762,0.6988045609344317,0.6726342439651489,0.6517699055182415,0.7161125319693095,0.6974032028063364,0.6572889685630798,0.6417259021667598,0.7212276214833759,0.6976469250951954,0.6649616360664368,0.6375968247169104,0.6982097186700768,0.669088407031396,387.8777618408203
ArrowHead,3,36,175,0.800000011920929,0.8013650793650794,0.8342857142857143,0.8335130206056433,0.7657142877578735,0.7670889746110986,0.7657142857142857,0.7654402192531689,0.7657142877578735,0.7592503346720214,0.76,0.7622998233619798,0.7885714173316956,0.7885843403084783,0.7257142857142858,0.722675317784726,0.7542856931686401,0.7473877610224399,0.7485714285714286,0.7512744989821772,80.51316165924072
BME,3,30,150,0.9533333778381348,0.9537036666333033,0.6666666666666666,0.6491307973571109,0.9733333587646484,0.9733875309464768,0.7266666666666667,0.7184919948964893,0.9600000381469727,0.96006400640064,0.7066666666666667,0.6991718991718993,0.9800000190734863,0.97999799979998,0.7466666666666667,0.7420378904249871,0.9666666984558105,0.9667178361256381,0.7333333333333333,0.728587174998379,56.98074650764465
Beef,5,30,30,0.9000000357627869,0.8978621378621379,0.6333333333333333,0.5976556776556776,0.9000000357627869,0.8978621378621379,0.8333333333333334,0.8385214785214785,0.9333333969116211,0.9328671328671329,0.8,0.798001998001998,0.9333333969116211,0.9331002331002332,0.8666666666666667,0.8625641025641025,0.8666667342185974,0.8653679653679653,0.6666666666666666,0.6776470588235294,82.70694994926453
stack expects a non-empty TensorList
stack expects a non-empty TensorList
CBF,3,30,900,0.9044444561004639,0.9041995410154614,0.9766666666666667,0.9766049495259707,0.9133333563804626,0.9133014878474427,0.9477777777777778,0.9471653865847414,0.9033333659172058,0.9034112587339763,0.9,0.900154421461611,0.9122222661972046,0.9105943294169391,0.8988888888888888,0.8994100957387428,0.8844444751739502,0.8853141873848521,0.8955555555555555,0.8965125035824786,42.509846210479736
Car,4,60,60,0.8833333849906921,0.8824049513704686,0.6166666666666667,0.5427110629197915,0.8666667342185974,0.8673687423687424,0.65,0.5979391891891892,0.8833333849906921,0.8825628394593913,0.6,0.5299996872752291,0.8500000238418579,0.8433694972401229,0.6166666666666667,0.5374970131421744,0.8500000238418579,0.8498280423280424,0.6833333333333333,0.6025063003257729,168.11147379875183
ChlorineConcentration,3,467,3840,0.9015625715255737,0.8874537214361817,0.7721354166666666,0.759285706197484,0.8859375715255737,0.8740683787081901,0.76484375,0.7452766679009171,0.8820313215255737,0.8699198138825507,0.7872395833333333,0.7772008248288379,0.8609375357627869,0.8461241537410148,0.77890625,0.77193939331634,0.8458333611488342,0.83120565214065,0.771875,0.7638672157099317,535.0356957912445
CinCECGTorso,4,40,1380,0.8239130973815918,0.8250896183049854,0.8,0.7987835108474782,0.7028985619544983,0.7018193680814371,0.8079710144927537,0.8095720031020551,0.6818841099739075,0.6780059262676588,0.8173913043478261,0.8172016203345495,0.6905797123908997,0.6890321186690251,0.841304347826087,0.8428338868362604,0.7210144996643066,0.7219411504663255,0.836231884057971,0.8343752759393412,456.31295442581177
stack expects a non-empty TensorList
stack expects a non-empty TensorList
Crop,24,7200,16800,0.6797618865966797,0.6741527715072345,0.7483928571428572,0.7470922702231385,0.6525595188140869,0.6508801031772555,0.7361309523809524,0.7350050704340851,0.6430357098579407,0.6322246387534282,0.7367857142857143,0.735875498108416,0.6499999761581421,0.6457863641536661,0.7348214285714286,0.7315779641792272,0.6823809742927551,0.6774268789178851,0.7342857142857143,0.7327470027434457,1017.5862236022949
DistalPhalanxOutlineAgeGroup,3,400,139,0.7482014298439026,0.6980585836114201,0.7913669064748201,0.7908031783528401,0.7338129878044128,0.6639508340649694,0.7841726618705036,0.7832139769722098,0.7338129878044128,0.5836538461538462,0.7553956834532374,0.7379310344827587,0.7194244861602783,0.6259600614439323,0.762589928057554,0.7634858875969303,0.7194244861602783,0.5703261623872311,0.7410071942446043,0.7368507031343926,155.88890719413757
stack expects a non-empty TensorList
DistalPhalanxTW,6,400,139,0.6546762585639954,0.4235523747560182,0.697841726618705,0.6214876546948552,0.6762589812278748,0.4596725898368246,0.6834532374100719,0.591908824621605,0.6546762585639954,0.3760144142032637,0.6690647482014388,0.6158900568247677,0.6474820375442505,0.3650556818660267,0.6762589928057554,0.6671613996055459,0.6402877569198608,0.365281797223721,0.6906474820143885,0.656548190354738,116.53467774391174
stack expects a non-empty TensorList
