dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,execution_time
MedicalImages,10,381,760,0.7223684787750244,0.6095366668890522,0.7381578947368421,0.7229972309286612,0.7302631735801697,0.6870220793683522,0.7289473684210527,0.7191108316126354,0.7263157963752747,0.6429463847633123,0.7118421052631579,0.7059592584952581,0.7157894968986511,0.6523493983122541,0.7236842105263158,0.693829775846175,0.7223684787750244,0.6412193455624327,0.7394736842105263,0.7361386017280033,0.7447368502616882,0.6674358603361126,0.7368421052631579,0.7334275037790841,718.4459116458893
Wine,2,57,54,0.8333333134651184,0.8318920788654445,0.6111111111111112,0.5871860211139425,0.8888888955116272,0.8875,0.6851851851851852,0.6505519604111153,0.7962962985038757,0.7962264150943397,0.7037037037037037,0.6883116883116883,0.8703703880310059,0.8692493946731235,0.6666666666666666,0.6666666666666666,0.8148148059844971,0.8082386363636364,0.7407407407407407,0.7393103448275861,0.8703703880310059,0.8703259005145798,0.7777777777777778,0.7727910238429172,321.84869718551636
ACSF1,10,100,100,0.7599999904632568,0.7507867446637805,0.83,0.8291973510852229,0.75,0.7351172791104141,0.85,0.8378248651932861,0.699999988079071,0.683791612643948,0.88,0.8822229816966657,0.7299999594688416,0.725952870658753,0.9,0.9011695906432748,0.6899999976158142,0.6729815570304869,0.85,0.8504778249972759,0.6899999976158142,0.6690578815898509,0.87,0.8715774284195337,744.9725379943848
