dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,mean_trust_step_0,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,mean_trust_step_1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,mean_trust_step_2,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,mean_trust_step_3,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,mean_trust_step_4,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,mean_trust_step_5,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time
ShapeletSim,2,20,180,0.5222222208976746,0.4888389908862766,1.0,1.0,0.5455,0.5611111521720886,0.5610975647396524,1.0,1.0,0.521,0.5666666626930237,0.5506337216745615,1.0,1.0,0.5595,0.5555555820465088,0.5324675324675324,1.0,1.0,0.5215,0.5166666507720947,0.46279715961716583,1.0,1.0,0.5115,0.5333333611488342,0.494314381270903,0.9944444444444445,0.9944442729713879,0.5475,0.5444444417953491,0.5375360320842211,0.9777777777777777,0.9777750339548092,55.760876417160034
PhalangesOutlinesCorrect,2,1800,858,0.8426573872566223,0.8271490714280385,0.8216783216783217,0.823247741588546,0.50699997,0.8426573872566223,0.8321155928277717,0.8181818181818182,0.8180796713791434,0.5055,0.8310023546218872,0.8196797108150141,0.8275058275058275,0.8264364339964599,0.50200003,0.8263403177261353,0.8106479252912294,0.824009324009324,0.8249146517343363,0.4995,0.8333333730697632,0.8223872494734328,0.8263403263403264,0.8198804379314816,0.5005,0.8356643319129944,0.8230599233900278,0.8251748251748252,0.8210371733397912,0.5005,0.8333333730697632,0.8217183011407971,0.8368298368298368,0.8360376387842055,7391.816383838654
FacesUCR,14,200,2050,0.7712194919586182,0.7397055740693668,0.8502439024390244,0.848634262333121,0.08821428,0.7565853595733643,0.7182750476786096,0.8634146341463415,0.8605281082074778,0.09235715,0.7390244007110596,0.6929106089615907,0.8585365853658536,0.8604547488038081,0.09121428,0.7507317066192627,0.7066622903641948,0.8541463414634146,0.8527743948378459,0.09221428,0.7395122051239014,0.6937673427601431,0.855609756097561,0.854957281280476,0.08728571,0.742926836013794,0.697654139322001,0.8585365853658536,0.858304389528269,0.08692857,0.757073163986206,0.7176972746992935,0.8541463414634146,0.8534291277048635,688.8808927536011
BME,3,30,150,0.9733333587646484,0.9733986732006534,0.6866666666666666,0.6743971126347208,0.3726667,0.9600000381469727,0.959844983891961,0.66,0.6489558123416391,0.38033333,0.9266666769981384,0.9272622828001631,0.6,0.5645153828359935,0.38266668,0.9133333563804626,0.9137820512820513,0.6533333333333333,0.641786192388602,0.37100002,0.8866667151451111,0.8867644011988373,0.6333333333333333,0.6227835167417671,0.37333333,0.9066666960716248,0.9072754888118769,0.66,0.6547085021383081,0.37866667,0.8733333349227905,0.8727488758627996,0.6533333333333333,0.6331066194079892,88.53159379959106
Wafer,2,1000,6164,0.9961064457893372,0.9898460433503444,0.9969175859831279,0.9969186037668144,0.509,0.9954575300216675,0.9881537172420685,0.994646333549643,0.9946656111669501,0.5035,0.9949707984924316,0.9870307034270791,0.9941596365996106,0.9941362319686669,0.49949998,0.9954575300216675,0.9881379514350994,0.9933484750162233,0.9933418632805744,0.5,0.9944841265678406,0.9855189147671194,0.990914990266061,0.9909565182337466,0.5045,0.9964308738708496,0.9907045558424452,0.9944841012329656,0.9944841012329656,0.499,0.9956197142601013,0.9886146021483175,0.9930240103828682,0.9930263137880536,3069.8317353725433
ProximalPhalanxOutlineAgeGroup,3,400,205,0.8585366010665894,0.7470396796752331,0.8682926829268293,0.8653996659847772,0.34799996,0.8536585569381714,0.7811895440858043,0.8878048780487805,0.8870613371394376,0.3733333,0.8585366010665894,0.7043088287545869,0.8878048780487805,0.8870613371394376,0.3726667,0.8682926893234253,0.7500886274755622,0.8829268292682927,0.8764662696794192,0.35766664,0.8634146451950073,0.7933971902937421,0.8829268292682927,0.8797596542100264,0.3726667,0.8731707334518433,0.8029775280898876,0.8829268292682927,0.8811123962894657,0.38266668,0.8536585569381714,0.5933447305254796,0.8731707317073171,0.8675481409245671,889.8593447208405
SwedishLeaf,15,500,625,0.8623999953269958,0.859921907765292,0.9312,0.9308704525816259,0.07313334,0.8751999735832214,0.8762032038235029,0.9328,0.9323222224944991,0.08173334,0.8783999681472778,0.8783019173143037,0.9264,0.9258169462917509,0.07926667,0.8495999574661255,0.8487373007436235,0.9296,0.9290560911191613,0.08093334,0.8751999735832214,0.8748170273412627,0.9328,0.9323018952675617,0.078266665,0.8623999953269958,0.8610819301688114,0.9296,0.9288025117601448,0.0814,0.8687999844551086,0.8694228420416495,0.9248,0.9243760559683989,1165.5774641036987
Fish,7,175,175,0.868571400642395,0.8703151752897831,0.72,0.7306011749339344,0.16257143,0.8628571629524231,0.8653434970363669,0.76,0.7601443609022556,0.16385713,0.8514285683631897,0.8565244212400799,0.6857142857142857,0.6723723906185993,0.16714285,0.8514285683631897,0.8538524486835161,0.6285714285714286,0.6363246300497463,0.16085716,0.822857141494751,0.8297276486352116,0.6342857142857142,0.6215951210202606,0.17042859,0.8571428656578064,0.8630437160464941,0.6971428571428572,0.6996376040550454,0.16828571,0.8742856979370117,0.8815674967937355,0.72,0.7179420338621224,652.2452771663666
ECG5000,5,500,4500,0.9422222375869751,0.58533844984823,0.9402222222222222,0.9296060587510733,0.20940001,0.9404444694519043,0.6010681534906295,0.9417777777777778,0.928889078204222,0.21160002,0.941111147403717,0.5591998988385674,0.9431111111111111,0.9323858382629403,0.20179999,0.937333345413208,0.591748756740907,0.9415555555555556,0.9304805258427061,0.20479998,0.9384444355964661,0.6037311274312893,0.9417777777777778,0.929795495711771,0.2046,0.940666675567627,0.5884256568096415,0.9408888888888889,0.9286352217395907,0.20879999,0.9397777915000916,0.6043319033987046,0.9397777777777778,0.9284951106488396,1125.8812351226807
EthanolLevel,4,504,500,0.8240000605583191,0.8258832722347087,0.482,0.4484923463886324,0.27925003,0.7940000295639038,0.7967334359149209,0.454,0.4489803519603689,0.26650003,0.7920000553131104,0.7912730845671154,0.478,0.41681018497552613,0.26775002,0.7920000553131104,0.7955011997692804,0.364,0.35613563034188034,0.26975,0.8140000104904175,0.8117892780488627,0.45,0.44483400966361764,0.24850002,0.7880000472068787,0.7853317979633769,0.454,0.4218056426332288,0.26225,0.8380000591278076,0.8385401941381585,0.406,0.3831449163449163,2464.8037581443787
