dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,execution_time
Adiac,37,390,391,0.687979519367218,0.6606352607636743,0.7237851662404092,0.7104685329900032,0.710997462272644,0.6863451428561871,0.7672634271099744,0.7503776542250105,0.7186700701713562,0.7149614428546817,0.7519181585677749,0.7318544597997526,0.7186700701713562,0.7059665633689104,0.7672634271099744,0.7535599676773814,0.687979519367218,0.6566382167676373,0.7698209718670077,0.7465163373907643,391.75955605506897
ArrowHead,3,36,175,0.8285714387893677,0.8275510204081633,0.7771428571428571,0.7749394617652526,0.8171428442001343,0.818334816436189,0.7828571428571428,0.7882089624467673,0.7657142877578735,0.7658905589940073,0.7828571428571428,0.7870196803778632,0.7599999904632568,0.7619864902122967,0.7771428571428571,0.7809350448014616,0.7542856931686401,0.7543027606431387,0.7485714285714286,0.750474456234183,70.20685458183289
BME,3,30,150,0.9533333778381348,0.9537878787878787,0.7133333333333334,0.6997057726224392,0.9666666984558105,0.9665973263993065,0.66,0.642289973840776,0.9533333778381348,0.9535933185155251,0.7066666666666667,0.6992322291235334,0.9666666984558105,0.9665848098580415,0.7133333333333334,0.7035918236139477,0.9600000381469727,0.9601313464679802,0.6666666666666666,0.656061438307395,56.32123875617981
Beef,5,30,30,0.9000000357627869,0.8978621378621379,0.7,0.6893006993006991,0.8666667342185974,0.8645288045288044,0.7333333333333333,0.7278388278388278,0.8666667342185974,0.864895104895105,0.6666666666666666,0.6359307359307359,0.9000000357627869,0.8995337995337996,0.6666666666666666,0.6567320261437909,0.9000000357627869,0.8978621378621379,0.7333333333333333,0.7342857142857143,69.6859290599823
stack expects a non-empty TensorList
stack expects a non-empty TensorList
CBF,3,30,900,0.9011111259460449,0.9008077695288789,0.9777777777777777,0.97768483701418,0.9100000262260437,0.9099035661695508,0.9477777777777778,0.9479494824165724,0.8888888955116272,0.8892580287929125,0.9244444444444444,0.9248405746542393,0.8833333253860474,0.8836093833019953,0.93,0.9298974623435569,0.89000004529953,0.8904690421094864,0.8944444444444445,0.8947598788721353,49.401936054229736
Car,4,60,60,0.9166666865348816,0.912912087912088,0.6166666666666667,0.5676190476190476,0.8833333849906921,0.8822344322344322,0.6666666666666666,0.6050511161624993,0.8666667342185974,0.8635435571687841,0.65,0.5756635581061693,0.9166666865348816,0.91991991991992,0.6,0.5534343434343435,0.9000000357627869,0.9008820127241179,0.6333333333333333,0.6071934002968485,123.70752143859863
ChlorineConcentration,3,467,3840,0.9036458730697632,0.8839822581318337,0.7778645833333333,0.7675521060678221,0.8919271230697632,0.8782840568054114,0.775,0.7695546892209533,0.8833333849906921,0.8708275844507353,0.7776041666666667,0.7705617030691172,0.8710938096046448,0.8567477872188131,0.7580729166666667,0.7508655319784892,0.8742188215255737,0.8563890595310194,0.7768229166666667,0.7724925927695558,618.0381116867065
CinCECGTorso,4,40,1380,0.8492754101753235,0.8505053798209359,0.8239130434782609,0.8242408807989856,0.7630435228347778,0.7586531412312348,0.8876811594202898,0.8870610512355261,0.7253623604774475,0.721522727534449,0.7797101449275362,0.7737583989391317,0.717391312122345,0.7169751131246107,0.8260869565217391,0.8222377595197375,0.7050724625587463,0.6927870511244537,0.8775362318840579,0.874690840268779,539.2683823108673
stack expects a non-empty TensorList
stack expects a non-empty TensorList
Crop,24,7200,16800,0.694940447807312,0.6949174074202723,0.7429166666666667,0.7406608963655557,0.6497023701667786,0.6392420827299431,0.7381547619047619,0.7364611875111972,0.6615476012229919,0.6558261260867431,0.7299404761904762,0.7275617311071868,0.6660118699073792,0.6574274443969218,0.7263690476190476,0.723120865773984,0.690833330154419,0.6873551715774521,0.7347023809523809,0.7331361543965533,1038.765177488327
