dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time,alpha
ACSF1,10,100,100,0.75,0.7390899877556224,0.86,0.8580603022708285,0.7099999785423279,0.701022157722925,0.85,0.8467910306068201,0.7099999785423279,0.7054838075581109,0.84,0.837868110561609,0.7099999785423279,0.7031538992408557,0.88,0.8785157227720157,0.7099999785423279,0.7086202249015549,0.84,0.8365702580872859,0.7400000095367432,0.7404592551523498,0.85,0.8435574443354763,0.6699999570846558,0.6671778526957555,0.85,0.8459290271132376,775.6720323562622,1
ACSF1,10,100,100,0.75,0.7390899877556224,0.86,0.8580603022708285,0.7299999594688416,0.7247648249583234,0.84,0.8415550239234451,0.7400000095367432,0.7318044583854248,0.84,0.8329627098048149,0.7199999690055847,0.7067941965155586,0.81,0.8031478949900002,0.7199999690055847,0.7168070175438597,0.87,0.8675757129007903,0.6899999976158142,0.6827608424539371,0.86,0.862418166628693,0.7400000095367432,0.7268912812333865,0.77,0.7647728799121988,743.8327684402466,2
ACSF1,10,100,100,0.75,0.7390899877556224,0.86,0.8580603022708285,0.75,0.746617328121754,0.85,0.8427136682285423,0.75,0.745466969279057,0.85,0.8494995956915463,0.7199999690055847,0.7158718989988339,0.87,0.8699761921272219,0.7099999785423279,0.7078319053854119,0.88,0.880997949419002,0.6699999570846558,0.6562293361653976,0.85,0.8495716787512453,0.7299999594688416,0.7279143083625518,0.83,0.8292788343407538,695.9669947624207,3
ACSF1,10,100,100,0.75,0.7390899877556224,0.84,0.8365595360951399,0.7099999785423279,0.6844449341508165,0.86,0.8601390498644504,0.6899999976158142,0.6696007236806806,0.86,0.8596268338831269,0.699999988079071,0.6845509890865928,0.83,0.8267319367938561,0.6399999856948853,0.6187325755861225,0.85,0.8504183849533156,0.6800000071525574,0.6567207430250909,0.79,0.7895485817931638,0.6699999570846558,0.6361321287408244,0.85,0.8493370681605975,662.0393040180206,4
ACSF1,10,100,100,0.75,0.7390899877556224,0.84,0.8365595360951399,0.7599999904632568,0.7555023923444977,0.84,0.8328875218348902,0.7599999904632568,0.7557029101079444,0.83,0.826708459127358,0.6699999570846558,0.6565097509989151,0.85,0.8495620765468659,0.7199999690055847,0.7149266779802169,0.84,0.8431078587734935,0.699999988079071,0.6941883945245422,0.83,0.8300001155721979,0.7699999809265137,0.7642691600811805,0.85,0.8513486255746316,736.0247051715851,5
ACSF1,10,100,100,0.75,0.7390899877556224,0.86,0.8580603022708285,0.7400000095367432,0.736007515016803,0.89,0.8905635300372142,0.75,0.7411919191919192,0.85,0.8500152555301297,0.7199999690055847,0.7130998512712068,0.8,0.8001971729680709,0.6800000071525574,0.6542812742812742,0.85,0.8487320797537515,0.6800000071525574,0.662617203543977,0.84,0.8389915072887209,0.699999988079071,0.6843681609666264,0.81,0.8088190832813258,704.5393829345703,6
ACSF1,10,100,100,0.75,0.7390899877556224,0.86,0.8580603022708285,0.7400000095367432,0.7292692996717763,0.86,0.8555211893369787,0.7299999594688416,0.7183787818947329,0.86,0.857913366303459,0.7699999809265137,0.7671848711331146,0.86,0.8577851826536037,0.7299999594688416,0.7214607843137255,0.85,0.8496989577330134,0.7199999690055847,0.7093619967923372,0.85,0.8500840103047668,0.7299999594688416,0.7233956926025171,0.83,0.8309615839956398,705.77032995224,7
