dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,mean_trust_step_0,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,mean_trust_step_1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,mean_trust_step_2,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,mean_trust_step_3,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,mean_trust_step_4,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,mean_trust_step_5,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time
ShapeletSim,2,20,180,0.5222222208976746,0.4888389908862766,1.0,1.0,0.5635,0.5833333730697632,0.5786385342863385,1.0,1.0,0.518,0.5277777910232544,0.4829508972322666,1.0,1.0,0.524,0.550000011920929,0.5496525096525097,1.0,1.0,0.509,0.5277777910232544,0.45182902798179925,1.0,1.0,0.5305,0.5666666626930237,0.5664525691699605,1.0,1.0,0.505,0.5222222208976746,0.5103744939271255,1.0,1.0,55.39888620376587
PhalangesOutlinesCorrect,2,1800,858,0.8426573872566223,0.8271490714280385,0.8216783216783217,0.8198639920686368,0.51100004,0.8298368453979492,0.814324252215931,0.8205128205128205,0.818754547997625,0.499,0.8333333730697632,0.8174617461746174,0.8205128205128205,0.8196414026626262,0.4995,0.825174868106842,0.8128718572068325,0.817016317016317,0.815427742741393,0.5005,0.824009358882904,0.8041850869437077,0.8263403263403264,0.8260922635300831,0.494,0.8193473219871521,0.7958657401651309,0.8228438228438228,0.8227442951899347,0.5025,0.824009358882904,0.808934894400833,0.837995337995338,0.8362227483335811,6639.702197313309
FacesUCR,14,200,2050,0.7712194919586182,0.7397055740693668,0.8585365853658536,0.8562852661323678,0.09157143,0.7063414454460144,0.6861406051594792,0.8424390243902439,0.8388682164594133,0.09107142,0.7565853595733643,0.7159719079951529,0.8580487804878049,0.8573649978971418,0.08757143,0.7492682933807373,0.7032730418060157,0.8517073170731707,0.8515037842479563,0.08492857,0.7517073154449463,0.7093365908438857,0.8541463414634146,0.8514538818404119,0.089857146,0.7312195301055908,0.6953759229636078,0.8570731707317073,0.855505548055212,0.08821429,0.7326829433441162,0.7024494733394555,0.8682926829268293,0.8651842823554103,668.654443025589
BME,3,30,150,0.9733333587646484,0.9733986732006534,0.68,0.6644187642939204,0.38399997,0.9399999976158142,0.9399839935974391,0.6066666666666667,0.6032097204663577,0.38533333,0.9399999976158142,0.9395554807925942,0.6133333333333333,0.5797796730632552,0.36133334,0.9533333778381348,0.9536398260392712,0.6333333333333333,0.6227179993965415,0.37633333,0.9600000381469727,0.960190136660725,0.6466666666666666,0.6290226402754535,0.36800003,0.9200000166893005,0.9203431372549019,0.66,0.6507772817148407,0.35766664,0.9333333373069763,0.9332840698820081,0.62,0.6018558510162055,80.05053496360779
Wafer,2,1000,6164,0.9961064457893372,0.9898460433503444,0.9967553536664504,0.9967532053765175,0.49949998,0.9946463704109192,0.9859917493929944,0.9941596365996106,0.9941673303028474,0.5095,0.9952952861785889,0.9876732641280166,0.9941596365996106,0.9941362319686669,0.477,0.994808554649353,0.9864613911337926,0.9943218689162882,0.9943312108144873,0.5075,0.9933484792709351,0.9825258017264418,0.9941596365996106,0.9941557696777317,0.50600004,0.994321882724762,0.985102984064115,0.9925373134328358,0.9925174456680335,0.5035,0.9935107231140137,0.9830316243833686,0.9939974042829332,0.9940229044780733,3565.4805212020874
ProximalPhalanxOutlineAgeGroup,3,400,205,0.8585366010665894,0.7470396796752331,0.8682926829268293,0.8677039097047364,0.35033333,0.8585366010665894,0.7655650981591112,0.8829268292682927,0.8826122023289004,0.363,0.8682926893234253,0.7901220960234875,0.8878048780487805,0.8829949501680809,0.35633335,0.8682926893234253,0.7821117926691183,0.8926829268292683,0.8875112162492863,0.3746667,0.8634146451950073,0.7280452441418562,0.8780487804878049,0.876339661179863,0.37866667,0.8634146451950073,0.7545286112258908,0.8780487804878049,0.8739500706058806,0.35133335,0.8585366010665894,0.7819968924839186,0.8682926829268293,0.8608304745674523,803.156907081604
SwedishLeaf,15,500,625,0.8623999953269958,0.859921907765292,0.936,0.9358523229491992,0.07400001,0.8799999952316284,0.8793550509391408,0.9392,0.939131957639547,0.08693334,0.8751999735832214,0.8752977189762157,0.928,0.9277241410191677,0.0754,0.8783999681472778,0.8771367403897424,0.928,0.9277042407594966,0.078933336,0.887999951839447,0.8888859981331092,0.944,0.9437701032227256,0.07393333,0.8912000060081482,0.8913398123469322,0.9184,0.9172955905465037,0.07879999,0.892799973487854,0.8937661785866182,0.9136,0.9124456086431093,1228.14728140831
Fish,7,175,175,0.868571400642395,0.8703151752897831,0.72,0.7202250465656067,0.161,0.868571400642395,0.8732025692288522,0.7085714285714285,0.7114661331092393,0.16028571,0.8514285683631897,0.8570373402073049,0.7085714285714285,0.7146066649587565,0.1722857,0.8114285469055176,0.8167076159253589,0.7085714285714285,0.7143501419069015,0.16642857,0.8399999737739563,0.8440403935686955,0.6971428571428572,0.696350871203194,0.174,0.8514285683631897,0.8564312758935203,0.72,0.7230413725582499,0.15585713,0.8514285683631897,0.8566050199967302,0.5428571428571428,0.5355049797158572,582.3630311489105
ECG5000,5,500,4500,0.9422222375869751,0.58533844984823,0.9397777777777778,0.9267762133390041,0.2092,0.9368888735771179,0.5777066712907464,0.9411111111111111,0.9276804994283874,0.205,0.9393333196640015,0.5815066643101103,0.9411111111111111,0.9271671516905602,0.2126,0.9375555515289307,0.5734070917021902,0.9404444444444444,0.9319199025056444,0.20799999,0.9355555772781372,0.5675344536037872,0.9411111111111111,0.9321658644282541,0.2078,0.9366666674613953,0.5642931973272027,0.9413333333333334,0.9323466307973127,0.20380001,0.9377778172492981,0.5551622123365612,0.9424444444444444,0.9320252734982759,1077.137128829956
EthanolLevel,4,504,500,0.8240000605583191,0.8258832722347087,0.484,0.4296515504598009,0.29125,0.800000011920929,0.8031580552161666,0.492,0.44840157293586946,0.27325,0.8260000348091125,0.8276045643368317,0.386,0.373309089193117,0.2665,0.7860000133514404,0.783252828695701,0.48,0.4595756989524675,0.249,0.8200000524520874,0.8200932607699933,0.468,0.4460256425543008,0.24599999,0.796000063419342,0.7952654899599285,0.42,0.39909904546229336,0.24849999,0.8060000538825989,0.8053339215665841,0.322,0.28308090796014307,2441.94646525383
